Geneid	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_1_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_1_Aligned.out_cleaned.bam
YGL057C	29	36	44	34	30	36
YGL056C	71	81	80	77	69	72
YGL055W	210	259	257	181	178	344
YGL054C	102	130	123	105	112	96
tE(UUC)G2	0	0	0	0	0	0
YGL053W	45	74	81	81	66	62
YGL052W	1	0	1	1	0	0
YGL051W	3	5	5	3	2	5
tR(UCU)G1	0	0	0	0	1	0
YGL050W	130	209	175	126	113	123
YGL049C	72	86	84	62	63	68
YGL048C	77	116	106	74	72	56
YGL047W	22	37	27	22	19	14
tV(AAC)G1	1	0	1	1	0	0
YGL045W	11	28	27	26	16	25
YGL044C	51	73	61	67	57	52
YGL043W	66	112	102	118	106	102
YGL042C	1	1	3	5	4	2
YGL041C-B	0	0	0	0	0	0
YGL041W-A	36	55	52	46	25	27
YGL041C	0	2	1	3	1	4
YGL040C	18	31	37	24	25	12
tL(CAA)G2	0	1	0	1	0	0
YGL039W	33	41	35	57	49	50
YGL038C	38	51	51	59	43	44
YGL037C	212	266	215	242	246	221
YGL036W	15	28	34	29	14	29
YGL035C	80	103	107	118	93	93
YGL034C	2	1	2	4	6	7
YGL033W	12	15	6	11	10	10
YGL032C	60	65	50	86	67	88
YGL031C	307	313	286	319	304	279
YGL030W	128	162	147	159	163	116
YGL029W	359	430	459	357	317	305
tF(GAA)G	0	0	0	0	0	0
YGL028C	40	38	26	46	33	36
YGL027C	60	86	113	44	62	45
YGL026C	72	89	115	52	58	38
YGL025C	61	76	75	79	60	56
YGL024W	0	0	0	0	0	0
YGL023C	173	219	234	178	150	142
YGL022W	38	42	53	45	21	35
YGL021W	32	27	63	16	24	18
YGL020C	80	110	98	89	72	82
YGL019W	314	400	371	457	324	301
YGL018C	20	48	34	43	42	52
YGL017W	15	27	19	24	16	19
YGL016W	25	36	41	34	34	28
YGL015C	0	0	0	0	1	1
YGL014W	61	56	74	39	33	40
YGL014C-A	1	0	1	1	0	0
YGL013C	49	80	79	63	51	58
YGL012W	68	79	75	62	71	50
YGL011C	129	130	133	104	124	108
YGL010W	8	11	6	10	12	7
YGL009C	91	102	104	88	96	89
YGL008C	420	489	620	347	284	255
YGL007C-A	0	1	0	6	2	3
YGL007W	0	0	0	0	0	0
YGL006W-A	9	14	8	16	8	7
YGL006W	44	61	63	34	28	28
YGL005C	99	147	139	102	88	77
YGL004C	29	60	59	34	41	40
YGL003C	67	112	89	76	57	60
YGL002W	51	85	70	45	42	35
YGL001C	65	87	82	71	86	78
YGR001C	86	115	119	93	86	68
YGR002C	52	80	57	56	38	45
YGR003W	33	21	25	22	25	26
YGR004W	12	30	31	22	19	15
YGR005C	95	145	131	102	80	113
YGR006W	34	36	42	37	31	45
YGR007W	59	75	58	60	64	42
YGR008C	350	500	407	338	302	296
YGR009C	73	97	117	70	48	53
YGR010W	33	47	41	50	47	47
YGR011W	1	1	2	1	1	0
YGR012W	10	18	17	9	5	9
YGR013W	34	39	47	35	32	27
YGR014W	21	17	24	30	18	19
YGR015C	16	18	24	22	18	35
YGR016W	2	8	5	6	0	3
YGR017W	116	135	140	131	88	159
YGR018C	4	1	1	3	4	6
YGR019W	23	55	47	42	36	24
YGR020C	232	337	293	294	228	241
YGR021W	24	12	26	21	21	19
YGR022C	1	0	0	0	0	1
YGR023W	30	36	26	48	30	44
tD(GUC)G1	0	2	0	0	0	0
YGR024C	87	112	103	79	76	85
YGR025W	25	31	32	19	11	19
YGR026W	50	73	89	47	50	61
YGR027C	121	165	146	130	153	112
YGR027W-A	0	0	0	0	0	0
YGR027W-B	6	6	14	7	8	2
tE(UUC)G3	1	0	0	0	0	0
YGR028W	4	15	13	11	21	14
YGR029W	51	75	57	50	48	47
tD(GUC)G2	0	0	0	0	1	0
snR46	9	12	13	2	2	3
YGR030C	20	39	33	30	16	25
YGR031W	113	155	124	98	85	62
YGR031C-A	2	1	2	3	2	6
YGR032W	46	59	66	68	59	68
YGR033C	34	52	51	29	30	24
YGR034W	256	285	295	229	252	200
YGR035C	124	155	158	120	99	119
YGR035W-A	0	0	0	0	0	0
YGR036C	12	6	11	13	14	10
YGR037C	71	70	73	44	64	50
YGR038W	6	11	8	10	9	15
tS(AGA)G	0	0	0	0	0	0
YGR038C-B	4	2	5	2	1	1
YGR038C-A	0	0	0	0	0	0
YGR039W	9	13	17	19	11	17
YGR040W	28	24	34	29	36	20
YGR041W	39	29	31	39	38	28
YGR042W	28	39	28	38	28	37
YGR043C	27	36	34	28	24	25
YGR044C	27	30	29	28	32	24
YGR045C	1	4	2	4	5	1
YGR046W	22	34	30	28	30	37
YGR047C	53	72	78	53	40	31
YGR048W	93	119	110	86	69	69
YGR049W	77	104	100	183	95	144
YGR050C	7	1	8	3	5	2
YGR051C	0	0	0	2	0	0
YGR052W	31	45	53	45	31	43
YGR053C	11	15	19	13	9	15
YGR054W	42	59	73	65	47	77
YGR055W	16	31	34	11	9	10
YGR056W	83	116	125	102	94	102
YGR057C	16	38	25	20	16	20
YGR058W	11	26	21	28	14	30
YGR059W	6	5	6	2	2	4
snR48	3	4	2	0	0	0
YGR060W	72	86	93	82	68	67
YGR061C	117	187	220	179	97	92
YGR062C	10	6	6	11	9	4
YGR063C	15	37	32	27	30	17
YGR064W	0	0	0	0	0	0
YGR065C	17	23	18	21	22	12
YGR066C	1	4	3	3	5	5
YGR067C	33	55	40	63	40	51
YGR068C	58	75	77	77	69	60
YGR068W-A	0	0	1	1	0	3
YGR069W	13	15	7	14	9	17
YGR070W	44	71	74	65	54	47
YGR071C	26	36	33	22	19	20
YGR072W	114	141	133	82	93	74
YGR073C	0	0	0	0	0	0
YGR074W	42	66	56	66	71	75
YGR075C	2	5	7	1	3	0
YGR076C	50	77	69	65	72	79
YGR077C	22	37	31	42	39	27
YGR078C	107	148	121	108	96	98
YGR079W	21	27	23	39	22	16
YGR080W	48	46	48	73	48	52
YGR081C	72	97	92	67	55	56
YGR082W	55	66	68	80	73	69
YGR083C	591	716	729	814	550	559
YGR084C	37	49	47	61	48	44
YGR085C	899	1433	1371	1299	994	1069
YGR086C	198	237	260	194	172	177
YGR087C	0	1	0	3	1	3
YGR088W	12	23	23	28	18	25
YGR089W	26	35	41	22	14	28
tT(UGU)G1	0	0	0	0	0	0
YGR090W	52	41	76	43	48	40
YGR091W	14	22	14	36	23	23
YGR092W	18	23	43	45	23	35
YGR093W	17	18	25	16	15	7
YGR094W	262	349	369	221	210	177
YGR095C	74	70	69	85	64	68
YGR096W	5	5	13	4	7	5
YGR097W	54	68	59	53	43	34
YGR098C	14	20	25	19	18	11
YGR099W	25	55	76	34	20	31
YGR100W	69	89	85	57	55	57
YGR101W	89	134	108	80	62	74
YGR102C	113	160	162	120	112	93
YGR103W	152	199	239	87	98	69
YGR104C	22	32	31	28	26	28
YGR105W	105	116	102	94	93	71
YGR106C	48	48	56	52	48	56
tL(GAG)G	1	0	0	0	0	0
tK(UUU)G2	0	1	0	0	0	0
YGR107W	0	1	1	0	1	1
YGR108W	38	34	34	38	26	17
YGR109C	1	4	5	3	6	0
tC(GCA)G	0	0	0	0	0	0
YGR109W-A	0	0	0	0	0	0
YGR109W-B	28	31	41	36	25	27
YGR110W	17	27	21	28	29	19
YGR111W	41	60	59	39	32	43
YGR112W	17	31	24	7	14	16
YGR113W	31	38	38	31	38	20
YGR114C	0	0	0	0	0	0
YGR115C	0	0	0	0	0	0
YGR116W	693	695	810	580	609	497
YGR117C	52	96	79	91	66	84
YGR118W	296	380	375	317	313	303
YGR119C	41	45	57	36	52	38
YGR120C	17	23	29	19	14	12
tN(GUU)G	1	0	1	0	0	0
YGR121C	14	16	12	8	9	9
YGR121W-A	4	1	4	3	0	2
YGR122W	20	43	27	43	33	31
YGR122C-A	2	7	5	12	8	9
tR(UCU)G3	0	0	0	0	0	0
YGR123C	129	211	188	153	131	120
tI(AAU)G	0	0	1	0	0	0
YGR124W	102	125	145	103	116	87
YGR125W	26	47	71	26	20	28
YGR126W	19	32	37	56	47	59
YGR127W	32	53	38	36	35	41
YGR128C	66	92	83	79	81	69
YGR129W	55	91	88	66	32	60
YGR130C	148	169	164	163	145	134
YGR131W	8	13	11	16	14	20
YGR132C	74	114	145	62	49	51
YGR133W	28	30	37	35	46	36
YGR134W	44	67	42	25	29	39
YGR135W	94	135	144	103	88	83
YGR136W	81	112	113	108	83	72
YGR137W	1	3	5	2	1	0
YGR138C	40	41	48	56	46	62
YGR139W	0	0	0	0	0	1
YGR140W	51	55	70	47	42	38
YGR141W	35	51	43	33	30	31
YGR142W	102	121	166	70	62	51
tA(AGC)G	0	0	0	0	0	0
YGR143W	29	51	42	29	24	29
tG(UCC)G	1	0	0	0	0	0
YGR144W	1	0	1	1	1	1
YGR145W	73	106	115	66	60	55
YGR146C	94	99	92	116	107	117
YGR146C-A	2	0	2	2	6	2
YGR147C	72	100	108	72	56	56
YGR148C	384	454	413	433	467	335
YGR149W	14	29	23	27	20	26
YGR150C	23	42	44	36	20	24
tA(UGC)G	0	0	0	0	0	0
YGR151C	0	0	0	0	0	0
YGR152C	64	77	82	50	47	41
YGR153W	21	31	24	27	31	27
YGR154C	17	21	19	21	19	13
YGR155W	131	124	159	169	159	147
YGR156W	34	43	39	56	35	43
YGR157W	47	72	85	67	53	66
YGR158C	20	27	30	25	20	17
YGR159C	67	96	94	66	80	40
YGR160W	0	0	0	0	0	0
YGR161C	170	234	199	226	205	221
YGR161W-C	41	53	44	27	29	27
YGR161W-A	0	0	0	0	0	0
YGR161W-B	0	0	0	0	1	0
YGR161C-D	1	2	2	0	0	4
YGR161C-C	0	0	0	0	0	0
tV(AAC)G2	0	0	0	0	0	0
YGR162W	231	296	395	225	185	202
YGR163W	32	46	51	32	33	40
YGR164W	0	0	0	0	0	0
tR(UCU)G2	0	1	0	0	1	0
YGR165W	39	64	59	43	30	37
YGR166W	30	42	42	40	30	36
YGR167W	264	350	330	257	256	254
YGR168C	13	19	20	12	10	8
YGR169C	30	52	50	49	39	38
YGR169C-A	604	734	714	552	415	459
YGR170W	40	58	64	51	47	38
YGR171C	11	15	8	18	21	12
YGR172C	19	17	21	23	16	8
YGR173W	38	58	51	63	59	70
tG(GCC)G1	1	0	0	0	0	0
YGR174C	130	143	126	172	137	106
YGR174W-A	1	0	2	1	0	0
YGR175C	90	141	160	89	85	72
YGR176W	0	3	7	7	1	3
YGR177C	4	12	4	5	5	4
YGR178C	97	142	185	112	94	103
YGR179C	70	102	100	89	55	75
YGR180C	213	244	310	220	242	266
tL(CAA)G3	0	0	0	0	0	0
YGR181W	30	37	26	49	36	40
YGR182C	23	23	18	19	19	8
YGR183C	26	45	29	39	39	16
YGR184C	73	104	121	62	67	54
YGR185C	83	91	112	77	67	67
YGR186W	112	139	145	66	77	58
YGR187C	76	102	140	65	53	56
YGR188C	27	36	35	28	22	23
tK(CUU)G3	0	0	0	0	0	0
YGR189C	51	58	72	47	41	54
tW(CCA)G2	0	0	0	0	0	0
YGR190C	0	0	0	0	0	0
YGR191W	77	122	109	141	95	93
YGR192C	350	385	422	349	329	334
YGR193C	60	72	73	84	67	97
YGR194C	22	31	31	33	29	33
YGR195W	51	89	80	105	90	96
YGR196C	21	23	27	22	18	13
YGR197C	40	44	34	36	33	35
YGR198W	46	80	78	60	49	51
YGR199W	13	18	18	6	7	7
YGR200C	39	46	45	23	20	24
YGR201C	13	20	21	26	26	24
YGR202C	154	244	231	104	109	129
YGR203W	14	18	18	23	25	27
YGR204W	122	150	164	146	114	115
YGR204C-A	1	0	0	0	0	0
YGR205W	40	38	31	45	31	39
YGR206W	23	36	25	32	16	21
YGR207C	74	132	133	72	98	105
YGR208W	141	197	206	212	147	174
YGR209C	83	62	60	128	77	73
YGR210C	151	222	221	265	164	177
YGR211W	123	178	171	85	96	66
YGR212W	11	15	17	20	20	19
YGR213C	1	0	0	1	0	0
YGR214W	239	254	286	293	312	290
YGR215W	290	327	322	328	317	272
YGR216C	20	29	25	31	35	33
YGR217W	12	22	28	25	17	20
tG(GCC)G2	0	0	0	0	0	0
YGR218W	37	47	65	38	25	43
YGR219W	0	0	0	0	0	0
YGR220C	20	23	17	11	10	13
YGR221C	3	12	10	5	3	3
snR7-L	1	0	0	0	1	0
snR7-S	0	0	0	0	0	0
YGR222W	31	25	42	17	12	17
YGR223C	47	92	55	32	27	36
YGR224W	0	0	0	0	1	1
YGR225W	2	1	1	2	0	3
YGR226C	0	0	0	0	0	0
YGR227W	79	117	106	158	104	151
YGR228W	0	0	0	0	0	0
YGR229C	64	69	113	69	71	76
YGR230W	23	59	53	29	32	31
YGR231C	46	66	80	46	40	35
YGR232W	10	15	18	11	15	13
YGR233C	39	55	75	61	49	58
YGR234W	101	126	120	99	92	102
YGR235C	37	66	48	39	34	28
YGR236C	12	22	25	17	11	22
YGR237C	57	84	89	69	66	56
YGR238C	9	11	18	11	8	9
YGR239C	53	81	98	64	42	47
YGR240C	111	129	172	113	129	89
YGR240C-A	0	0	0	0	1	0
YGR241C	35	56	45	20	30	30
YGR242W	0	0	0	0	2	1
YGR243W	116	138	119	92	84	107
YGR244C	132	158	172	171	148	144
YGR245C	73	99	132	32	49	36
YGR246C	30	51	56	21	30	19
YGR247W	13	23	26	9	18	14
YGR248W	25	29	31	18	35	24
YGR249W	81	90	61	130	99	122
YGR250C	152	167	192	153	143	145
YGR251W	45	64	62	72	50	48
YGR252W	76	110	118	65	52	51
YGR253C	234	353	341	192	159	226
YGR254W	92	120	119	71	95	85
YGR255C	65	82	81	80	64	70
tT(UGU)G2	0	0	0	0	0	0
YGR256W	5	8	8	9	9	12
YGR257C	36	78	52	75	58	61
YGR258C	40	52	43	42	41	23
YGR259C	0	1	0	1	0	0
YGR260W	36	49	52	26	27	31
YGR261C	42	38	83	54	34	40
YGR262C	46	70	51	39	34	39
YGR263C	11	17	13	15	10	12
YGR264C	61	68	78	59	65	56
YGR265W	0	0	0	0	1	0
YGR266W	24	28	27	22	22	30
YGR267C	106	126	115	78	79	72
YGR268C	47	35	37	52	64	49
YGR269W	19	22	19	15	15	11
YGR270W	342	457	546	493	372	414
YGR270C-A	1	0	0	0	0	0
YGR271W	26	33	51	22	29	23
YGR271C-A	129	158	132	125	93	87
YGR273C	0	0	1	0	0	0
YGR274C	21	23	37	27	15	22
YGR275W	224	288	282	233	218	195
YGR276C	55	96	75	47	52	37
YGR277C	38	49	51	39	46	37
YGR278W	13	19	17	9	7	4
YGR279C	190	220	219	271	251	283
YGR280C	374	399	456	434	352	373
YGR281W	77	96	114	94	72	94
YGR282C	196	212	199	193	158	152
YGR283C	40	59	51	61	55	39
YGR284C	28	28	38	25	22	33
YGR285C	219	256	301	209	196	172
YGR286C	20	25	30	35	33	34
YGR287C	9	14	18	23	16	20
YGR288W	10	22	16	15	12	15
YGR289C	23	25	27	29	23	29
YGR290W	0	0	0	0	0	0
YGR291C	0	0	0	0	1	0
YGR292W	1	5	3	4	0	3
YGR293C	0	0	0	0	0	0
YGR294W	0	1	2	0	0	2
YGR295C	88	115	100	91	92	75
YGR296W	0	0	0	0	0	0
YGR296C-A	0	0	0	0	0	0
YGR296C-B	0	0	0	0	0	0
YLL067C	1	0	4	0	1	2
YLL067W-A	0	0	0	0	0	0
YLL066W-B	0	0	0	1	0	0
YLL066C	1	0	0	0	0	0
YLL066W-A	0	0	0	0	0	0
YLL065W	0	0	0	0	0	0
YLL064C	0	2	0	0	0	0
YLL063C	1	6	2	7	2	5
YLL062C	9	6	11	16	8	10
YLL061W	10	16	12	6	18	9
YLL060C	5	5	3	2	2	3
YLL059C	41	56	58	73	37	46
YLL058W	7	19	21	9	9	8
YLL057C	10	20	13	51	10	23
YLL056C	0	2	2	0	3	0
YLL055W	7	10	11	19	16	6
YLL054C	20	21	17	38	24	28
YLL053C	0	3	0	0	1	0
YLL052C	0	0	1	0	0	0
YLL051C	34	46	37	43	50	41
YLL050C	94	109	113	96	77	86
YLL049W	5	8	6	6	6	3
YLL048C	56	87	112	49	45	39
YLL047W	4	9	6	12	5	8
YLL046C	7	18	10	12	9	5
YLL045C	478	535	537	424	429	371
YLL044W	0	0	0	0	0	1
YLL043W	82	95	94	67	60	59
YLL042C	6	7	3	6	3	7
YLL041C	86	157	134	130	117	126
YLL040C	96	142	170	88	65	54
YLL039C	109	146	153	95	77	86
YLL038C	56	81	87	76	71	51
YLL037W	1	5	2	4	1	3
YLL036C	22	36	38	28	20	18
YLL035W	14	17	17	15	12	10
YLL034C	130	144	173	103	105	77
YLL033W	12	10	11	7	8	10
YLL032C	20	37	55	51	29	33
YLL031C	31	37	34	27	31	33
YLL030C	0	0	0	0	0	0
YLL029W	92	139	135	142	113	144
YLL028W	15	23	15	9	16	16
YLL027W	70	61	63	63	67	58
YLL026W	239	368	437	273	210	238
tP(UGG)L	0	2	0	0	0	0
YLL025W	0	1	0	0	0	2
YLL024C	802	1108	1311	809	704	662
YLL023C	27	41	41	45	35	31
YLL022C	83	120	113	105	77	68
YLL021W	120	167	240	94	73	65
YLL020C	0	0	0	0	0	0
YLL019C	114	153	164	153	129	159
YLL019W-A	0	0	0	0	0	0
YLL018C-A	54	71	62	101	77	86
YLL018C	441	596	583	390	345	283
YLL017W	1	5	1	4	5	3
YLL016W	20	30	27	18	23	22
YLL015W	37	71	84	40	34	43
YLL014W	65	87	77	78	64	79
YLL013C	66	72	113	69	57	58
YLL012W	21	32	33	23	14	19
YLL011W	128	150	164	158	109	124
YLL010C	139	339	223	142	108	128
YLL009C	74	114	77	66	48	50
YLL008W	320	407	454	276	260	208
YLL007C	20	30	20	17	17	23
YLL006W-A	0	1	0	0	0	0
YLL006W	34	41	40	40	27	25
YLL005C	0	0	0	0	0	0
YLL004W	19	32	40	20	12	22
YLL003W	20	28	32	28	18	24
YLL002W	18	23	17	34	27	25
YLL001W	26	33	35	25	20	25
YLR001C	58	82	75	87	77	77
YLR002C	123	174	158	161	120	130
YLR003C	146	198	196	138	121	124
YLR004C	1	3	4	3	4	3
YLR005W	25	35	33	33	29	18
YLR006C	44	63	83	57	44	57
YLR007W	54	77	59	57	39	44
YLR008C	39	32	35	40	50	29
YLR009W	121	233	230	120	122	116
YLR010C	11	15	10	10	12	11
tS(AGA)L	0	0	0	0	0	0
YLR011W	4	9	11	7	12	7
YLR012C	0	1	1	2	0	1
YLR013W	0	0	0	0	0	0
YLR014C	30	34	45	22	29	30
YLR015W	103	125	110	110	83	95
YLR016C	22	41	41	32	39	22
YLR017W	63	77	70	92	75	86
YLR018C	32	51	56	32	32	26
YLR019W	82	125	109	160	121	116
YLR020C	58	84	84	57	66	55
YLR021W	97	133	132	112	76	349
YLR022C	195	235	212	176	146	161
YLR023C	45	56	58	49	50	40
YLR024C	26	34	46	22	25	21
YLR025W	266	358	387	290	217	261
YLR026C	37	49	44	44	30	36
YLR027C	117	130	138	142	136	134
snR30	112	112	151	75	88	55
YLR028C	149	225	227	110	119	86
YLR029C	772	1078	1052	724	671	630
YLR030W	6	6	10	4	3	5
YLR031W	1	0	1	0	1	0
YLR032W	49	51	55	35	25	29
YLR033W	47	58	66	54	38	33
YLR034C	12	15	19	24	23	17
YLR035C	6	15	12	18	5	7
tA(UGC)L	0	0	0	0	0	0
YLR035C-A	1	2	1	0	0	0
YLR036C	45	51	39	32	28	38
YLR037C	0	1	0	1	5	0
YLR038C	44	52	55	41	44	49
YLR039C	25	42	46	42	33	38
YLR040C	18	19	12	38	28	38
YLR041W	16	37	23	28	15	17
YLR042C	13	12	12	150	22	27
YLR043C	96	124	98	146	105	119
YLR044C	1167	1450	1506	1249	1093	1050
YLR045C	46	66	80	46	18	32
YLR046C	1	1	1	0	0	0
YLR047C	4	14	15	7	7	11
YLR048W	372	488	511	525	461	444
YLR049C	19	28	27	26	26	32
YLR050C	4	6	6	9	6	12
YLR051C	207	271	295	255	259	233
YLR052W	88	120	114	131	114	121
YLR053C	13	25	24	26	10	16
YLR054C	9	7	5	5	5	2
YLR055C	220	294	278	214	156	144
YLR056W	55	93	105	75	91	73
YLR057W	35	28	41	32	35	30
YLR058C	101	116	111	111	104	131
YLR059C	26	39	32	74	48	71
YLR060W	214	276	324	209	205	183
YLR061W	454	559	500	510	450	373
YLR062C	0	0	0	0	0	0
YLR063W	12	17	13	7	11	9
YLR064W	59	80	62	54	55	48
YLR065C	101	157	184	147	120	107
YLR066W	38	57	45	34	32	34
YLR067C	26	22	17	28	19	30
YLR068W	379	415	384	377	327	281
YLR069C	36	44	40	27	32	28
YLR070C	6	10	6	4	9	3
YLR071C	29	32	47	54	27	32
YLR072W	15	22	20	18	16	30
YLR073C	17	24	25	40	35	28
YLR074C	200	207	177	155	163	131
YLR075W	265	335	289	249	295	244
YLR076C	0	0	2	0	0	0
YLR077W	44	52	76	59	39	47
YLR078C	34	48	36	43	30	23
YLR079W	139	250	256	145	96	114
YLR080W	18	26	24	17	17	19
YLR081W	5	3	1	2	6	3
YLR082C	45	61	51	60	30	42
YLR083C	50	83	76	73	53	51
YLR084C	17	33	40	28	25	12
YLR085C	21	32	36	19	20	26
YLR086W	40	57	66	35	20	20
YLR087C	52	51	68	47	34	51
YLR088W	28	26	28	21	21	18
YLR089C	61	80	80	120	88	107
YLR090W	61	66	84	71	59	54
YLR091W	15	31	24	28	15	22
YLR092W	5	1	3	7	12	9
YLR093C	55	85	65	99	83	89
YLR094C	39	50	43	59	39	39
YLR095C	69	91	92	47	52	45
YLR096W	42	65	80	74	47	53
YLR097C	25	31	30	27	27	25
YLR098C	28	28	45	17	29	24
YLR099C	40	54	62	57	61	54
YLR099W-A	57	85	58	76	48	47
YLR100W	89	97	95	84	71	62
YLR101C	4	1	5	3	4	1
YLR102C	96	144	133	120	91	102
YLR103C	8	18	18	7	2	8
YLR104W	27	35	27	30	23	23
YLR105C	76	92	94	73	57	62
snR79	0	2	0	2	1	0
YLR106C	316	354	488	148	121	129
YLR107W	28	39	34	24	16	34
snR6	9	16	13	5	7	1
YLR108C	80	103	91	72	83	90
YLR109W	337	456	386	371	379	306
YLR110C	598	816	790	797	658	711
YLR111W	0	0	0	0	0	0
YLR112W	37	34	48	24	22	21
YLR113W	84	156	108	115	96	86
tR(ACG)L	0	0	0	0	0	0
YLR114C	43	45	48	31	27	23
YLR115W	32	41	43	42	25	21
YLR116W	78	118	116	106	99	114
YLR117C	84	121	103	66	53	48
YLR118C	25	38	30	34	34	26
YLR119W	49	74	60	56	45	48
YLR120C	48	89	72	74	64	70
YLR120W-A	40	45	33	23	18	23
YLR121C	8	19	26	14	11	9
YLR122C	0	1	0	0	0	0
YLR123C	2	5	0	0	2	1
YLR124W	5	12	8	13	11	13
YLR125W	5	12	16	6	2	5
YLR126C	13	15	13	8	15	11
YLR127C	13	21	26	17	14	25
YLR128W	12	18	14	11	16	8
YLR129W	46	46	73	45	31	27
YLR130C	20	29	28	30	20	10
YLR131C	19	25	17	25	15	25
YLR132C	19	21	14	10	13	17
YLR133W	46	81	76	82	45	46
YLR134W	3	4	6	1	2	2
YLR135W	36	77	72	70	49	64
YLR136C	92	124	113	94	95	99
YLR137W	49	56	64	42	33	28
YLR138W	118	153	213	84	87	87
YLR139C	44	57	56	94	74	82
YLR140W	0	2	1	0	1	2
YLR141W	30	32	38	57	36	33
YLR142W	7	11	10	18	11	21
tD(GUC)L1	0	0	0	0	0	0
YLR143W	34	62	51	42	25	30
YLR144C	16	13	20	20	17	20
YLR145W	68	81	84	75	64	75
YLR146C	15	32	23	23	16	24
YLR146W-A	35	33	31	29	35	43
YLR147C	99	106	95	103	87	101
YLR148W	21	34	28	28	20	27
YLR149C	30	54	53	37	30	42
YLR149C-A	0	2	0	0	0	1
YLR150W	483	665	615	492	458	630
YLR151C	28	47	46	29	18	20
YLR152C	52	82	59	58	53	40
YLR153C	54	78	74	24	33	35
YLR154C	14	22	12	9	13	12
tQ(UUG)L	0	0	0	0	0	0
ETS2-1	0	0	0	0	0	0
RDN37-1	5	6	9	1	3	2
RDN25-1	0	0	0	0	0	0
YLR154W-A	0	0	0	0	0	0
YLR154W-B	0	0	0	0	0	0
YLR154W-C	0	0	1	0	0	0
ITS2-1	0	0	1	0	0	0
RDN58-1	0	0	0	0	0	0
YLR154W-E	0	0	0	0	0	0
ITS1-1	0	0	1	0	0	0
YLR154W-F	0	0	0	0	0	0
RDN18-1	0	0	0	0	0	0
ETS1-1	1	0	2	0	2	0
RDN5-1	0	1	0	0	0	0
ETS2-2	0	2	1	2	1	1
RDN37-2	5	19	17	5	4	5
RDN25-2	0	0	0	0	0	0
YLR154C-G	0	0	0	0	0	0
ITS2-2	1	2	2	0	0	1
RDN58-2	0	0	0	0	0	0
ITS1-2	0	0	0	0	0	0
RDN18-2	0	0	0	0	0	0
ETS1-2	0	0	0	2	0	0
RDN5-2	0	0	0	0	0	0
YLR154C-H	0	0	0	0	0	0
YLR155C	0	0	0	0	0	0
YLR156W	0	0	0	0	0	0
RDN5-3	0	0	0	0	0	0
YLR156C-A	0	0	0	0	0	0
YLR157C	0	0	0	0	0	0
YLR157W-D	0	0	0	0	0	0
YLR157C-B	0	1	1	1	0	0
YLR157C-A	0	0	0	0	0	0
YLR157W-E	0	0	0	0	0	0
RDN5-4	0	0	0	0	0	0
YLR157C-C	0	0	0	0	0	0
YLR158C	0	0	0	0	0	0
YLR159W	0	0	0	0	0	0
RDN5-5	0	0	0	0	0	0
YLR159C-A	0	0	0	0	0	0
YLR160C	0	0	0	0	0	0
YLR161W	0	0	0	0	0	0
RDN5-6	0	0	0	0	0	0
YLR162W	1	4	2	8	1	4
YLR162W-A	0	1	0	0	1	1
YLR163C	41	53	39	51	49	36
YLR163W-A	0	0	0	0	0	0
YLR164W	12	11	12	22	28	25
YLR165C	67	86	78	53	59	49
YLR166C	28	33	54	32	30	25
YLR167W	687	907	824	605	590	506
YLR168C	27	35	27	21	30	18
YLR169W	0	0	0	0	0	0
YLR170C	105	128	119	112	155	146
YLR171W	0	1	2	2	2	2
YLR172C	111	168	134	144	102	137
YLR173W	22	19	28	23	29	21
YLR174W	16	19	23	12	10	9
YLR175W	210	231	345	107	108	91
YLR176C	35	40	55	68	55	64
YLR177W	263	332	331	299	225	233
YLR178C	69	70	63	76	63	73
YLR179C	62	71	61	90	51	40
YLR180W	107	139	136	210	163	137
YLR181C	36	61	56	52	50	28
YLR182W	53	64	84	31	41	36
YLR183C	21	39	36	18	12	14
YLR184W	1	0	2	0	0	0
YLR185W	364	474	455	328	325	299
YLR186W	57	85	71	82	61	52
YLR187W	34	56	37	31	45	35
YLR188W	24	25	50	22	24	26
YLR189C	58	81	66	54	47	52
YLR190W	38	44	35	58	49	38
YLR191W	15	21	21	9	22	12
YLR192C	102	151	108	133	98	82
YLR193C	35	41	29	33	40	30
YLR194C	110	147	118	147	105	110
YLR195C	157	204	221	158	142	138
YLR196W	146	165	198	98	121	86
YLR197W	278	296	396	173	193	167
YLR198C	0	0	0	0	0	0
YLR199C	41	51	46	61	63	56
YLR200W	293	423	384	435	335	358
YLR201C	30	29	30	40	33	32
