Geneid	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_1_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-pooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_3_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_2_Aligned.out_cleaned.bam	/N/dc2/scratch/rpolicas/stripe_paper/stripe_seq/yeast/results/aligned/S288C-unpooled_WT-100ng_1_Aligned.out_cleaned.bam
YDL107W	22	36	20	31	32	44
YDL106C	60	75	74	85	60	66
YDL105W	14	20	23	14	12	17
YDL104C	6	12	5	4	5	5
YDL103C	8	13	11	11	11	19
YDL102W	36	56	62	59	41	44
YDL101C	14	30	24	19	11	12
YDL100C	183	269	330	161	134	149
YDL099W	411	478	463	426	406	375
YDL098C	41	77	80	69	52	62
YDL097C	114	140	128	77	79	49
YDL096C	0	0	0	0	0	0
YDL095W	52	51	62	42	31	36
YDL094C	0	0	0	2	0	0
YDL093W	10	12	12	5	4	7
YDL092W	52	76	51	55	52	44
YDL091C	37	50	52	51	31	53
YDL090C	6	16	17	12	13	10
YDL089W	10	28	23	15	6	10
YDL088C	66	75	78	69	69	78
YDL087C	12	14	11	12	18	18
YDL086W	33	36	34	34	31	35
YDL086C-A	2	6	4	4	2	5
YDL085C-A	57	85	66	58	42	38
YDL085W	4	18	12	15	17	13
YDL084W	170	180	232	162	158	137
YDL083C	199	205	207	220	217	198
YDL082W	291	328	350	393	368	369
YDL081C	156	288	223	159	134	115
YDL080C	22	23	13	16	23	15
YDL079C	249	295	301	521	190	191
YDL078C	32	40	36	44	62	33
YDL077C	25	42	51	29	23	30
YDL076C	130	189	212	124	114	109
YDL075W	401	524	474	410	379	338
snR63	13	25	26	3	6	5
YDL074C	61	85	96	61	50	53
