Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YDL035C	745	664	642
YDL034W	0	1	2
YDL033C	271	243	213
YDL032W	1	0	2
YDL031W	1146	1077	1120
YDL030W	397	376	403
YDL029W	2740	2534	2513
YDL028C	582	504	504
YDL027C	752	675	683
YDL026W	3	2	0
YDL025C	1323	1118	1021
YDL025W-A	3	0	0
YDL024C	66	48	44
YDL022C-A	1	1	2
tA(AGC)D	0	0	0
YDL023C	2	2	1
YDL022W	8624	6400	6854
YDL021W	303	270	296
YDL020C	2579	2195	2191
YDL019C	2228	1921	1850
YDL018C	379	338	349
YDL017W	431	427	388
YDL016C	97	122	113
YDL015C	3005	2929	2885
YDL014W	2909	2613	2711
YDL013W	742	650	577
YDL012C	604	541	553
YDL011C	0	1	0
YDL010W	674	582	566
YDL009C	8	13	11
YDL008W	275	258	260
tT(AGU)D	0	0	0
YDL007C-A	1	0	0
tS(AGA)D1	0	0	0
YDL007W	3943	3391	3380
YDL006W	430	370	373
YDL005C	998	858	853
YDL004W	1524	1262	1229
YDL003W	323	284	326
YDL002C	723	559	686
YDL001W	482	405	386
YDR001C	4584	4067	4015
YDR002W	5432	4719	5018
YDR003W	788	578	615
YDR003W-A	178	133	135
YDR004W	639	530	582
YDR005C	1226	1145	1136
YDR006C	1365	1296	1298
YDR007W	915	794	738
YDR008C	46	33	34
YDR009W	97	97	80
YDR010C	6	5	4
YDR011W	3783	3504	3510
YDR012W	6580	6328	6383
YDR013W	323	237	279
YDR014W	254	236	199
YDR014W-A	12	16	12
YDR015C	2	0	0
YDR016C	288	297	276
YDR017C	1368	1208	1167
YDR018C	125	127	131
YDR019C	1121	1023	934
YDR020C	278	254	272
YDR021W	368	363	326
YDR022C	144	128	113
tV(UAC)D	0	2	2
YDR023W	8578	8225	8337
YDR024W	15	17	22
YDR025W	7996	6582	7239
YDR026C	646	591	526
YDR027C	1116	881	874
YDR028C	1868	1749	1645
YDR029W	2	2	2
YDR030C	145	133	135
YDR031W	274	204	204
YDR032C	2466	2344	2350
YDR033W	10529	10676	10672
YDR034C	942	877	942
YDR034C-D	56	32	47
YDR034C-C	0	0	0
tL(UAA)D	0	0	0
YDR034C-A	2	0	1
tQ(UUG)D1	0	0	0
YDR034W-B	127	112	124
YDR035W	5551	4742	4739
YDR036C	828	742	736
YDR037W	13626	13282	13226
YDR038C	86	70	94
YDR039C	0	0	2
YDR040C	420	310	300
YDR041W	1071	867	913
YDR042C	43	32	39
snR47	65	75	69
YDR043C	760	620	567
YDR044W	975	886	889
YDR045C	398	342	357
YDR046C	2832	2631	2462
YDR047W	2123	1867	1960
YDR048C	2	2	5
YDR049W	724	648	668
YDR050C	33630	31084	33920
YDR051C	946	835	804
YDR052C	1030	855	812
YDR053W	0	1	4
YDR054C	1650	1464	1384
YDR055W	3142	2897	2972
YDR056C	1136	984	964
YDR057W	639	558	552
YDR058C	235	246	255
tR(UCU)D	1	0	0
tD(GUC)D	0	1	1
YDR059C	283	239	217
YDR060W	2265	2257	2181
YDR061W	600	593	558
YDR062W	2171	2044	2008
YDR063W	1006	870	866
YDR064W	14898	13338	14261
YDR065W	284	258	283
YDR066C	96	115	97
YDR067C	477	503	494
YDR068W	1093	943	852
YDR069C	695	653	577
YDR070C	500	410	429
YDR071C	2257	1887	1956
YDR072C	2351	1938	1979
YDR073W	773	587	630
YDR074W	17055	14846	14179
YDR075W	264	246	280
YDR076W	65	65	62
YDR077W	15149	11176	12112
YDR078C	152	136	121
YDR079W	368	305	328
YDR079C-A	121	106	134
YDR080W	682	579	644
YDR081C	744	720	664
YDR082W	390	354	335
YDR083W	1164	1046	1021
YDR084C	460	464	443
YDR085C	757	596	626
YDR086C	1697	1456	1454
YDR087C	744	655	645
YDR088C	444	400	373
tR(ACG)D	1	0	2
YDR089W	820	736	683
YDR090C	344	310	328
YDR091C	2196	2193	2082
YDR092W	823	713	677
YDR093W	1396	1256	1308
YDR094W	14	14	7
YDR095C	5	2	3
YDR096W	1624	1344	1371
YDR097C	635	580	601
YDR098C	1156	1044	1111
tQ(UUG)D2	0	0	0
YDR098C-B	20	23	20
YDR098C-A	0	0	0
YDR099W	5001	4620	4440
YDR100W	732	674	719
YDR101C	983	1106	1071
YDR102C	4	4	5
YDR103W	908	874	843
YDR104C	329	354	300
YDR105C	833	702	723
YDR106W	42	50	50
tI(AAU)D	0	0	0
YDR107C	393	355	377
YDR108W	446	417	435
YDR109C	306	289	288
YDR110W	444	429	375
YDR111C	890	838	766
YDR112W	2	1	0
YDR113C	470	409	404
YDR114C	2	5	0
YDR115W	522	427	460
YDR116C	740	627	630
YDR117C	690	745	722
YDR118W	288	289	276
YDR118W-A	7	9	8
YDR119W	1247	1190	1224
YDR119W-A	382	296	263
YDR120C	1381	1309	1300
YDR121W	567	463	433
YDR122W	1480	1209	1163
YDR123C	254	227	228
YDR124W	103	101	96
YDR125C	190	150	158
YDR126W	183	149	133
YDR127W	3330	3308	3134
YDR128W	737	675	622
YDR129C	6844	6378	6377
YDR130C	453	350	366
YDR131C	391	403	359
YDR132C	377	346	342
YDR133C	6673	5462	5556
YDR135C	1542	1470	1463
YDR136C	18	5	9
YDR137W	1090	1008	951
YDR138W	677	584	584
YDR139C	519	423	407
YDR140W	347	315	315
YDR141C	1135	1010	1077
YDR142C	391	327	310
YDR143C	934	783	710
YDR144C	519	496	525
YDR145W	1203	1114	1053
YDR146C	630	573	530
YDR147W	454	448	407
YDR148C	1919	1778	1627
YDR149C	0	0	0
YDR150W	1356	1297	1269
YDR151C	1137	1045	1061
YDR152W	1482	1264	1269
YDR153C	1286	1062	1052
YDR154C	4134	3587	3509
YDR155C	11507	10105	11003
YDR156W	328	235	241
YDR157W	16	16	14
YDR158W	8597	8404	8027
YDR159W	771	680	690
YDR160W	461	415	412
YDR161W	1700	1552	1511
YDR162C	526	421	460
YDR163W	307	268	281
YDR164C	872	809	772
YDR165W	1520	1474	1490
YDR166C	800	903	794
YDR167W	697	619	663
YDR168W	1648	1583	1576
YDR169C	1027	817	899
YDR169C-A	2	7	6
YDR170C	1856	1886	1936
tQ(UUG)D3	0	0	0
YDR170W-A	70	68	70
YDR171W	7652	7336	7078
YDR172W	3822	3738	3720
YDR173C	469	372	363
YDR174W	3125	2744	2664
YDR175C	752	672	675
YDR176W	1035	875	854
YDR177W	1241	1048	1091
YDR178W	1364	1130	1150
YDR179C	77	95	67
YDR179W-A	165	168	191
YDR180W	266	250	262
YDR181C	375	364	364
YDR182W	989	880	785
YDR182W-A	11	11	6
YDR183W	244	189	224
YDR183C-A	46	39	48
YDR184C	487	431	411
YDR185C	388	338	328
YDR186C	1313	1164	1077
YDR187C	0	0	1
YDR188W	3509	2926	3070
YDR189W	1656	1613	1485
YDR190C	2254	2126	2062
YDR191W	145	110	112
YDR192C	305	247	239
YDR193W	0	1	0
YDR194C	1310	1035	1008
YDR194W-A	0	0	0
YDR195W	619	582	525
YDR196C	733	652	622
YDR197W	607	491	515
YDR198C	368	373	394
YDR199W	0	0	2
YDR200C	602	564	551
YDR201W	186	177	163
YDR202C	730	682	585
YDR203W	2	2	4
YDR204W	744	671	596
YDR205W	481	463	477
YDR206W	1249	1121	1172
YDR207C	629	607	615
YDR208W	1062	943	914
YDR209C	1	1	0
YDR210W	597	491	512
YDR210W-B	26	24	16
YDR210W-A	0	0	0
YDR210C-D	39	34	34
YDR210C-C	0	0	0
tI(UAU)D	0	1	0
YDR211W	1601	1517	1523
YDR212W	2888	2312	2547
YDR213W	607	490	519
YDR214W	1633	1503	1597
YDR215C	3	1	6
YDR216W	1710	1508	1398
YDR217C	368	321	305
YDR218C	10	6	3
YDR219C	809	737	729
YDR220C	43	39	34
YDR221W	589	554	554
YDR222W	252	327	343
YDR223W	121	122	123
YDR224C	6921	5943	5921
YDR225W	7269	6625	6816
YDR226W	4578	4090	4197
YDR227W	614	496	531
YDR228C	891	805	729
YDR229W	1211	1024	1019
YDR230W	1	0	1
YDR231C	699	569	599
YDR232W	924	763	860
YDR233C	7658	6642	6873
YDR234W	1230	1235	1183
YDR235W	900	772	768
YDR236C	374	320	330
YDR237W	572	534	547
YDR238C	3157	2840	2797
YDR239C	551	408	414
YDR240C	345	328	309
YDR241W	74	71	83
tY(GUA)D	2	2	3
YDR242W	219	199	238
YDR243C	326	307	310
YDR244W	969	897	852
YDR245W	1536	1395	1440
YDR246W	690	611	643
YDR246W-A	23	12	21
YDR247W	929	847	799
YDR248C	217	240	201
YDR249C	358	313	297
YDR250C	4	1	2
YDR251W	2298	2017	2066
YDR252W	116	99	108
YDR253C	60	38	38
YDR254W	260	243	220
YDR255C	492	389	391
YDR256C	83	88	71
YDR257C	863	816	770
YDR258C	2871	2995	2810
YDR259C	133	98	100
YDR260C	379	314	316
YDR261C	923	779	786
tS(AGA)D2	2	1	0
YDR261W-B	49	56	58
YDR261W-A	0	0	0
YDR261C-D	46	59	62
YDR261C-C	0	0	0
tG(GCC)D2	21	24	16
YDR262W	1146	882	922
YDR263C	161	124	148
YDR264C	2323	2255	2120
YDR265W	513	452	455
YDR266C	1025	992	864
YDR267C	477	392	437
YDR268W	286	260	252
YDR269C	1	1	1
YDR270W	253	232	262
YDR271C	6	5	2
YDR272W	1190	1155	1156
YDR273W	147	139	120
YDR274C	2	0	0
YDR275W	195	149	177
YDR276C	2849	2569	2735
YDR277C	2460	1970	1900
YDR278C	0	0	0
tE(CUC)D	0	0	0
YDR279W	430	373	408
YDR280W	894	786	784
YDR281C	6	14	15
YDR282C	278	255	279
YDR283C	710	609	585
YDR284C	985	818	810
YDR285W	336	245	267
YDR286C	130	112	98
YDR287W	481	424	368
YDR288W	553	490	485
YDR289C	683	597	546
YDR290W	0	0	0
YDR291W	659	592	556
YDR292C	1816	1675	1650
YDR293C	3624	3273	3235
YDR294C	1998	1806	1797
YDR295C	753	650	659
YDR296W	785	665	632
YDR297W	2404	2257	2264
YDR298C	2125	1888	1856
YDR299W	792	820	742
YDR300C	1309	1238	1198
YDR301W	695	627	631
YDR302W	342	322	351
YDR303C	823	714	744
YDR304C	2567	2430	2452
YDR305C	450	333	348
YDR306C	981	925	836
tV(CAC)D	0	1	2
YDR307W	502	471	430
YDR308C	419	354	335
YDR309C	733	661	701
YDR310C	794	712	723
YDR311W	712	718	695
YDR312W	511	486	464
YDR313C	227	176	226
YDR314C	201	162	155
YDR315C	136	120	100
YDR316W	342	345	324
tF(GAA)D	1	0	3
YDR316W-B	2	2	1
YDR316W-A	0	0	0
YDR317W	126	69	89
YDR318W	287	294	273
YDR319C	542	517	484
YDR320C	711	576	601
YDR320C-A	150	153	123
YDR320W-B	16	10	11
YDR321W	1825	1705	1815
