Geneid	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_01_S288C_1_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_03_S288C_3_Aligned.sortedByCoord.out.bam	/N/dc2/scratch/rpolicas/stripe_paper/rna_seq/yeast/results/aligned/YRNASEQ_02_S288C_2_Aligned.sortedByCoord.out.bam
YOL077C	1280	1088	1254
YOL076W	462	428	434
YOL075C	361	349	317
YOL073C	581	438	484
YOL072W	506	465	431
YOL071W	326	255	313
YOL070C	669	562	624
YOL069W	268	249	248
YOL068C	1116	826	932
YOL067C	210	157	144
YOL066C	573	517	514
YOL065C	359	332	353
YOL064C	999	944	940
YOL063C	680	666	645
YOL062C	1468	1353	1351
YOL061W	1545	1514	1381
YOL060C	1118	858	978
YOL059W	3160	2663	2748
YOL058W	2947	2661	2609
YOL057W	1391	1332	1291
YOL056W	450	398	399
YOL055C	246	251	238
tG(GCC)O1	0	0	0
tN(GUU)O1	0	0	0
YOL054W	408	408	393
YOL053W	556	444	466
YOL052C-A	1484	1346	1319
YOL052C	1166	1018	1087
snR81	17	17	18
YOL051W	1321	1083	1058
YOL050C	4	2	2
YOL049W	1736	1537	1468
YOL048C	1061	899	826
YOL047C	15	10	11
YOL046C	0	0	0
YOL045W	1019	900	896
YOL044W	421	389	322
YOL043C	319	311	270
YOL042W	608	549	495
YOL041C	1494	1267	1291
YOL040C	15856	12813	14523
YOL039W	8291	7180	7585
YOL038C-A	23	14	17
YOL038W	1866	1596	1626
YOL037C	2	0	1
YOL036W	798	666	675
YOL035C	0	0	2
snR50	36	25	31
YOL034W	341	311	300
YOL033W	283	289	262
YOL032W	880	738	729
YOL031C	584	532	494
YOL030W	2495	2278	2292
YOL029C	251	204	183
YOL028C	261	203	201
YOL027C	2138	1820	1827
YOL026C	318	295	273
tS(GCU)O	2	1	7
YOL025W	368	336	302
YOL024W	9	10	13
YOL023W	206	153	155
YOL022C	1349	1174	1298
tG(GCC)O2	2	0	0
YOL021C	1620	1496	1485
YOL020W	1348	1120	1157
tY(GUA)O	0	0	0
YOL019W-A	0	0	0
YOL019W	671	581	582
YOL018C	739	589	604
YOL017W	196	218	216
YOL016C	6641	6014	6167
YOL015W	256	213	193
YOL014W	793	675	740
YOL013W-B	2	11	4
YOL013W-A	23	16	22
tP(UGG)O1	0	0	0
YOL013C	966	885	826
YOL012C	890	835	866
YOL011W	1774	1650	1608
YOL010W	757	711	713
YOL009C	287	237	264
YOL008W	294	285	268
YOL007C	609	569	513
YOL006C	789	650	732
YOL005C	641	574	537
YOL004W	1783	1535	1492
YOL003C	314	260	274
YOL002C	1172	1077	1095
YOL001W	439	363	351
YOR001W	1676	1617	1572
YOR002W	1356	1278	1241
YOR003W	214	159	180
YOR004W	760	700	680
YOR005C	404	321	299
YOR006C	644	628	582
YOR007C	4692	4159	4146
tR(ACG)O	0	0	1
YOR008C	1455	1379	1336
YOR008C-A	1	3	3
YOR008W-B	20	13	22
YOR009W	157	107	105
YOR010C	87	85	84
YOR011W	172	179	173
tT(AGU)O2	2	0	2
YOR011W-A	0	0	0
YOR012W	12	20	18
YOR013W	19	10	15
YOR014W	2110	1884	1848
YOR015W	289	266	256
YOR016C	574	519	480
YOR017W	507	448	405
YOR018W	694	621	578
YOR019W	1047	823	774
YOR020C	1893	1492	1659
YOR020W-A	439	424	358
YOR021C	1575	1345	1465
YOR022C	356	315	298
YOR023C	1019	772	944
YOR024W	1	1	1
YOR025W	436	471	415
YOR026W	465	396	388
YOR027W	3981	3704	3678
YOR028C	465	349	382
YOR029W	2	0	0
YOR030W	480	465	483
YOR032C	16	21	21
YOR032W-A	12	9	10
YOR033C	523	425	474
YOR034C	552	595	555
YOR034C-A	42	46	44
YOR035C	1104	940	954
YOR036W	1066	923	903
YOR037W	439	413	358
YOR038C	699	540	591
YOR039W	1147	1024	1030
YOR040W	257	260	251
snR9	138	146	136
YOR041C	16	12	5
YOR042W	1941	1430	1617
snR62	21	13	17
YOR043W	1241	912	1058
YOR044W	243	201	185
YOR045W	577	503	473
YOR046C	2388	2247	2314
YOR047C	875	713	675
YOR048C	1847	1659	1697
YOR049C	305	284	300
YOR050C	4	8	4
YOR051C	1933	1643	1598
YOR052C	2295	1927	1843
YOR053W	6	4	10
YOR054C	727	648	603
YOR055W	1	0	0
YOR056C	1743	1602	1596
YOR057W	696	651	673
YOR058C	321	257	240
tK(UUU)O	1	5	2
YOR059C	754	728	694
YOR060C	347	327	308
YOR061W	1804	1692	1755
YOR062C	641	540	569
YOR063W	65176	50006	59628
YOR064C	257	206	218
YOR065W	1619	1206	1292
YOR066W	294	237	283
YOR067C	831	772	696
YOR069W	1037	942	943
YOR068C	3	0	2
YOR070C	881	754	755
YOR071C	531	521	473
YOR072W	8	3	1
YOR072W-A	8	15	10
tP(UGG)O2	0	0	0
YOR072W-B	0	0	0
YOR073W	270	215	224
YOR074C	407	362	389
YOR073W-A	1	1	0
YOR075W	448	417	400
YOR076C	532	483	458
YOR077W	144	114	127
YOR078W	447	431	402
YOR079C	299	263	290
YOR080W	420	410	411
YOR081C	853	701	749
YOR082C	6	8	5
YOR083W	81	97	89
YOR084W	191	161	167
YOR085W	1140	935	984
YOR086C	2292	2047	1989
tN(GUU)O2	3	0	0
YOR087W	746	660	698
YOR089C	1435	1167	1215
YOR090C	1098	911	875
YOR091W	1549	1430	1413
YOR092W	775	719	731
YOR093C	560	508	541
YOR094W	299	259	253
YOR095C	1149	1039	1085
YOR096W	11026	10214	11001
YOR097C	314	267	247
YOR098C	1137	954	1010
YOR099W	2351	2347	2268
YOR100C	109	68	86
YOR101W	1238	1104	1097
YOR102W	7	5	5
YOR103C	530	499	529
YOR104W	197	174	154
YOR105W	41	24	37
YOR106W	398	384	366
YOR107W	88	83	102
YOR108W	2238	2107	2128
YOR108C-A	4	1	2
YOR109W	1115	916	966
YOR110W	625	574	575
YOR111W	313	305	292
YOR112W	821	743	712
YOR113W	855	700	698
YOR114W	114	102	104
YOR115C	627	619	559
YOR116C	1181	1107	1124
YOR117W	3046	2736	2651
YOR118W	723	710	715
YOR119C	965	900	933
YOR120W	1333	1235	1133
YOR121C	54	44	37
YOR122C	4346	4129	4017
YOR123C	2177	1813	1862
YOR124C	1294	1219	1237
YOR125C	395	298	283
YOR126C	257	196	203
YOR127W	787	696	682
YOR128C	3567	3103	2840
YOR129C	332	321	288
YOR130C	677	598	576
tD(GUC)O	29	16	18
YOR131C	695	632	562
YOR132W	1246	1082	1058
YOR133W	4613	4423	4725
YOR134W	369	350	371
YOR135C	0	0	0
YOR136W	2810	2578	2313
YOR137C	235	195	196
YOR138C	1261	1159	1068
YOR139C	1	1	1
YOR140W	159	141	172
YOR141C	1162	1094	1116
YOR142W	2532	2323	2402
tG(CCC)O	4	3	3
YOR142W-B	10	9	12
YOR142W-A	0	0	0
YOR143C	337	350	301
YOR144C	235	256	235
YOR145C	1519	1300	1388
YOR146W	1	3	2
YOR147W	753	657	593
YOR148C	329	265	284
YOR149C	452	446	462
YOR150W	497	385	375
YOR151C	2771	2366	2565
YOR152C	292	215	221
YOR153W	8262	7622	7877
YOR154W	590	576	542
YOR155C	940	788	770
YOR156C	261	235	222
YOR157C	1374	1013	1171
YOR158W	723	659	653
YOR159C	287	256	239
YOR160W	752	618	676
YOR161C	2170	1675	1674
YOR161W-A	3	0	0
YOR161W-B	3	5	4
YOR161C-C	19	12	4
YOR162C	516	477	457
YOR163W	513	398	381
YOR164C	1300	1260	1245
YOR165W	1243	1192	1289
YOR166C	421	344	355
YOR167C	6288	5556	5864
YOR168W	4894	4259	4651
YOR169C	2	6	3
YOR170W	0	1	0
YOR171C	1131	1019	963
YOR172W	441	351	347
YOR173W	1315	1210	1210
YOR174W	732	598	622
YOR175C	2542	2205	2275
YOR176W	2002	1843	1709
tV(AAC)O	2	3	1
YOR177C	44	52	50
YOR178C	741	645	680
YOR179C	486	410	422
YOR180C	211	180	194
YOR181W	541	230	345
YOR182C	3356	2897	2772
YOR183W	1	3	4
YOR184W	2728	2532	2518
snR36	29	35	34
YOR185C	858	606	679
YOR186W	63	55	64
YOR186C-A	26	19	20
YOR187W	3374	3005	3083
YOR188W	489	507	473
YOR189W	410	335	350
YOR190W	36	42	39
YOR191W	1029	909	951
YOR192C	121	126	112
YOR192C-C	12	13	9
YOR192C-B	33	27	29
YOR192C-A	0	0	0
tM(CAU)O1	0	1	0
YOR193W	480	438	424
YOR194C	872	782	795
YOR195W	404	374	402
YOR196C	893	721	772
YOR197W	1966	1723	1846
YOR198C	3679	3075	3404
YOR199W	3	0	1
YOR200W	5	1	3
YOR201C	641	506	546
YOR202W	1063	1010	931
YOR203W	37	36	36
YOR204W	2270	2157	2028
YOR205C	407	357	366
YOR206W	2207	2128	2180
YOR207C	1932	1803	1770
YOR208W	727	565	578
YOR209C	3450	3165	3063
YOR210W	837	666	719
YOR211C	855	808	771
YOR212W	1570	1314	1268
YOR213C	448	426	408
YOR214C	1	0	1
YOR215C	958	731	764
YOR216C	648	554	567
YOR217W	1266	1144	1190
YOR218C	0	1	0
YOR219C	1442	1282	1203
YOR220W	2869	2558	2505
YOR221C	928	817	828
YOR222W	1519	1339	1384
snR35	199	161	185
YOR223W	470	359	364
YOR224C	703	624	663
YOR225W	5	5	6
YOR226C	288	223	258
YOR227W	1271	1022	1053
YOR228C	385	328	312
YOR229W	146	135	166
YOR230W	4445	3962	3852
YOR231W	631	474	597
YOR231C-A	3	1	2
YOR232W	1837	1524	1615
YOR233W	493	417	407
YOR234C	2779	2394	2351
YOR235W	1	3	3
snR17a	60	46	51
YOR236W	342	274	307
YOR237W	44	43	47
YOR238W	364	301	376
YOR239W	2773	2144	2310
YOR241W	851	830	820
YOR242C	17	26	21
YOR243C	1435	1455	1407
YOR244W	764	681	636
YOR245C	589	542	522
YOR246C	1169	1048	1160
YOR247W	2188	1624	1930
YOR248W	336	281	311
YOR249C	453	442	383
YOR250C	612	433	529
YOR251C	943	874	895
YOR252W	535	524	559
YOR253W	509	469	478
YOR254C	1726	1563	1536
YOR255W	1	1	1
YOR256C	785	736	760
YOR257W	493	474	460
YOR258W	155	130	128
YOR259C	4010	3583	3486
YOR260W	1859	1633	1756
YOR261C	3147	2823	2720
YOR262W	484	427	422
YOR263C	0	1	0
YOR264W	1357	1222	1241
YOR265W	408	361	372
YOR266W	352	305	309
YOR267C	2117	1595	1934
YOR268C	4	1	0
YOR269W	300	284	264
YOR270C	6590	6238	6389
YOR271C	1258	1158	1226
snR8	156	114	141
YOR272W	1322	1251	1199
YOR273C	2454	2273	2211
YOR274W	395	375	384
YOR275C	895	922	843
YOR276W	2092	1833	1878
YOR277C	12	4	2
snR31	193	176	206
snR5	175	144	155
YOR278W	444	369	367
YOR279C	278	227	221
YOR280C	381	364	355
YOR281C	1022	975	886
YOR282W	0	0	0
YOR283W	673	659	667
YOR284W	145	108	138
YOR285W	1619	1494	1536
YOR286W	728	614	658
YOR287C	208	182	207
YOR288C	692	642	644
YOR289W	390	342	364
tA(UGC)O	0	0	0
YOR290C	1434	1201	1222
YOR291W	930	799	845
YOR292C	524	461	455
YOR293W	7735	7309	7328
YOR293C-A	0	0	2
YOR294W	447	431	425
YOR295W	263	241	251
YOR296W	359	343	300
YOR297C	315	240	280
YOR298W	33	37	42
YOR298C-A	5873	5261	5207
YOR299W	1179	1117	1022
YOR300W	22	16	25
YOR301W	363	296	363
YOR302W	115	149	113
YOR303W	2141	2149	1982
YOR304W	1099	1061	920
YOR304C-A	232	176	208
YOR305W	377	372	365
YOR306C	396	391	440
YOR307C	628	740	663
YOR308C	326	282	278
YOR309C	363	313	285
YOR310C	4942	4423	4559
YOR311C	676	597	640
YOR312C	12365	11722	11739
YOR313C	23	18	20
YOR314W	1	0	0
YOR314W-A	1	0	1
YOR315W	154	170	161
YOR316C	865	683	816
YOR316C-A	15	8	9
YOR317W	3999	3553	3310
YOR318C	51	52	52
YOR319W	325	303	301
YOR320C	632	671	636
YOR321W	436	368	399
YOR322C	1140	1058	942
YOR323C	3216	2940	2941
YOR324C	437	391	366
YOR325W	1	1	1
YOR326W	2771	2823	2705
YOR327C	1211	1005	1082
YOR328W	484	430	432
YOR329C	1024	840	766
YOR329W-A	0	1	5
YOR330C	1007	823	813
YOR331C	4	1	4
YOR332W	5542	3226	3830
YOR333C	1	3	0
YOR334W	108	105	99
YOR335C	6177	5721	5865
YOR335W-A	0	0	0
YOR336W	592	638	569
YOR337W	481	496	513
YOR338W	217	231	268
YOR339C	12	12	15
YOR340C	1209	1086	1033
YOR341W	3401	3288	3262
YOR342C	1392	1289	1259
YOR343C	9	8	9
YOR343W-B	104	73	65
YOR343W-A	0	0	0
tM(CAU)O2	2	1	1
YOR344C	2041	1894	1921
tP(UGG)O3	1	1	1
YOR345C	5	3	1
YOR346W	524	524	515
YOR347C	964	906	872
YOR348C	258	168	209
YOR349W	332	275	288
YOR350C	388	389	385
YOR351C	6	5	4
YOR352W	511	497	463
YOR353C	719	565	648
YOR354C	1002	1006	966
YOR355W	1073	1018	930
YOR356W	1211	1105	1019
YOR357C	402	325	301
YOR358W	361	306	299
YOR359W	172	140	134
YOR360C	978	869	898
YOR361C	4828	4658	4845
YOR362C	3020	2739	2755
YOR363C	564	525	527
YOR364W	29	26	21
YOR365C	4	5	9
YOR366W	21	25	29
YOR367W	432	395	409
YOR368W	216	209	197
YOR369C	18702	16117	16923
YOR370C	2010	1807	1776
YOR371C	495	421	452
YOR372C	838	597	641
YOR373W	289	269	255
YOR374W	10719	8227	7920
YOR375C	4218	3434	3654
YOR376W	1	0	0
YOR376W-A	146	139	133
YOR377W	1070	937	908
YOR378W	25	18	10
YOR379C	9	9	12
YOR380W	200	184	184
YOR381W	395	390	450
YOR381W-A	14	9	17
YOR382W	1364	1229	1755
YOR383C	2353	1828	2973
YOR384W	234	192	242
YOR385W	1342	1216	1301
YOR386W	634	593	572
YOR387C	1	2	5
YOR388C	53	44	38
YOR389W	114	87	111
YOR390W	100	73	61
YOR391C	3	2	1
YOR392W	1	1	4
YOR393W	0	0	0
YOR394W	0	0	0
YOR394C-A	3	3	0
YOR396W	1	1	0
YOR396C-A	0	0	0
YGL263W	2	4	2
YGL262W	0	0	1
YGL261C	1	1	0
YGL260W	0	0	0
YGL259W	6	12	18
YGL258W-A	11	5	5
YGL258W	14	6	16
YGL257C	946	934	812
YGL256W	882	764	836
YGL255W	359	334	349
YGL254W	276	255	248
YGL253W	25767	22871	22034
YGL252C	1239	1185	1062
YGL251C	221	179	164
YGL250W	307	283	257
YGL249W	57	50	38
RME3	174	141	153
YGL248W	1271	1116	1087
YGL247W	325	259	254
YGL246C	918	845	846
YGL245W	7351	6386	6907
YGL244W	1604	1394	1360
YGL243W	392	369	355
YGL242C	268	225	210
YGL241W	658	554	569
YGL240W	97	80	91
YGL239C	0	0	0
YGL238W	1557	1462	1394
YGL237C	584	420	464
YGL236C	199	162	159
YGL235W	1	2	1
YGL234W	6743	6436	6308
YGL233W	849	758	740
YGL232W	973	781	748
YGL231C	834	816	720
YGL230C	9	8	10
YGL229C	440	400	409
YGL228W	1864	1604	1520
YGL227W	1432	1164	1160
YGL226C-A	534	489	544
YGL226W	235	182	186
tV(AAC)G3	2	6	1
YGL225W	1906	1802	1860
YGL224C	577	516	494
YGL223C	761	748	687
YGL222C	479	357	410
YGL221C	1302	1117	1209
YGL220W	661	670	657
YGL219C	1195	1053	1002
YGL218W	3	1	1
YGL217C	0	1	1
YGL216W	394	321	330
YGL215W	2477	1982	2070
YGL214W	2	2	0
YGL213C	840	780	729
YGL212W	243	186	201
YGL211W	819	700	698
YGL210W	497	428	428
YGL209W	1064	734	910
YGL208W	678	544	492
YGL207W	2997	2711	2686
YGL206C	2204	2045	2081
YGL205W	38	33	30
tH(GUG)G1	0	0	0
YGL204C	100	121	104
YGL203C	930	739	813
tK(UUU)G1	0	0	0
YGL202W	5821	5381	5447
YGL201C	772	733	634
tK(CUU)G1	0	0	0
YGL200C	2405	2324	2359
YGL199C	48	31	35
YGL198W	746	622	639
YGL197W	1450	1160	1130
YGL196W	1748	1834	1748
YGL195W	2944	2902	2930
YGL194C-A	107	108	100
YGL194C	450	416	368
RME2	1342	1255	1193
YGL193C	0	0	0
YGL192W	1	3	4
YGL191W	1172	1063	1064
YGL190C	1285	1058	1097
YGL189C	14313	12479	12774
YGL188C-A	75	73	49
YGL188C	143	108	151
YGL187C	1172	923	968
YGL186C	1280	1175	1123
YGL185C	308	290	269
YGL184C	239	189	143
YGL183C	37	27	19
YGL182C	18	14	14
YGL181W	1115	1041	940
YGL180W	580	366	363
YGL179C	664	562	627
YGL178W	835	763	780
YGL177W	32	21	38
YGL176C	271	291	246
YGL175C	74	42	44
YGL174W	206	213	178
YGL173C	3849	3422	3672
YGL172W	1081	968	922
YGL171W	1328	1281	1172
YGL170C	7	10	8
tK(CUU)G2	0	0	0
YGL169W	710	654	660
YGL168W	6	6	5
YGL167C	2273	2115	2008
YGL166W	869	737	766
YGL165C	3	4	2
YGL164C	673	587	581
YGL163C	615	515	492
YGL162W	316	213	274
YGL161C	1238	1130	1056
YGL160W	832	739	690
YGL159W	497	499	421
tL(CAA)G1	0	0	0
YGL158W	220	167	175
YGL157W	1517	1303	1295
YGL156W	352	361	306
YGL155W	838	770	763
YGL154C	241	205	228
YGL153W	534	460	460
YGL152C	14	11	6
YGL151W	999	903	922
YGL150C	1628	1480	1379
YGL149W	1	0	1
YGL148W	3824	3465	3594
YGL147C	13171	12695	13206
YGL146C	161	132	152
YGL145W	786	695	685
YGL144C	289	243	263
YGL143C	425	414	376
YGL142C	667	572	559
YGL141W	630	597	537
YGL140C	1072	956	930
YGL139W	658	633	592
YGL138C	0	0	1
YGL137W	2677	2348	2359
YGL136C	455	438	396
YGL135W	10952	9481	9971
YGL134W	613	578	599
YGL133W	619	573	545
YGL132W	0	4	2
YGL131C	564	477	505
YGL130W	756	668	655
YGL129C	873	850	753
YGL128C	242	168	208
YGL127C	228	159	168
YGL126W	428	487	347
YGL125W	631	602	474
YGL124C	792	667	635
YGL123W	34733	31905	32716
YGL123C-A	16	16	11
YGL122C	2451	2087	2053
YGL121C	110	128	98
YGL120C	3197	2944	3014
YGL119W	552	504	448
tW(CCA)G1	1	1	1
YGL118C	10	8	10
YGL117W	1758	1675	1590
YGL116W	429	390	384
YGL115W	1210	1149	1130
YGL114W	780	747	705
YGL113W	343	268	298
YGL112C	1368	1299	1229
YGL111W	1198	1061	1054
YGL110C	765	687	648
YGL109W	16	5	9
YGL108C	411	403	330
YGL107C	675	617	555
YGL106W	1926	1649	1730
YGL105W	6237	5559	5711
YGL104C	438	403	362
YGL103W	17846	16739	17430
YGL102C	12	11	11
YGL101W	677	520	502
YGL100W	783	765	702
YGL099W	1294	1197	1186
snR82	184	155	137
YGL098W	519	376	395
tH(GUG)G2	1	4	0
YGL097W	910	833	847
YGL096W	177	128	148
tE(UUC)G1	13	11	9
YGL095C	793	734	724
YGL094C	413	375	368
YGL093W	608	531	529
YGL092W	1505	1376	1352
YGL091C	647	556	545
YGL090W	334	203	300
YGL089C	0	0	4
YGL088W	1	0	1
snR10	130	122	142
YGL087C	573	532	567
YGL086W	780	654	671
YGL085W	267	221	238
YGL084C	755	671	662
YGL083W	386	272	338
YGL082W	1297	1146	1133
YGL081W	64	64	63
YGL080W	953	873	878
YGL079W	256	242	256
YGL078C	2125	1956	2051
YGL077C	1143	1012	1018
YGL076C	13596	11720	12419
snR39	30	35	38
snR39B	36	28	28
YGL075C	186	171	140
YGL074C	1	0	2
YGL073W	1328	1116	1052
YGL072C	63	86	105
YGL071W	511	485	525
YGL070C	484	416	391
YGL069C	7	15	18
YGL068W	1151	1098	986
YGL067W	508	495	490
YGL066W	800	761	668
YGL065C	628	572	605
YGL064C	159	169	158
YGL063W	233	174	194
YGL063C-A	3	2	4
YGL062W	1934	1465	1550
YGL061C	205	178	178
YGL060W	524	504	471
YGL059W	939	948	894
YGL058W	323	247	223
YGL057C	97	92	77
YGL056C	1335	862	1013
YGL055W	9828	8578	8923
YGL054C	1669	1405	1470
tE(UUC)G2	1	0	0
YGL053W	541	478	474
YGL052W	16	18	16
YGL051W	27	15	20
tR(UCU)G1	1	0	0
YGL050W	388	320	365
YGL049C	1473	1149	1234
YGL048C	4062	3598	3536
YGL047W	227	217	194
tV(AAC)G1	0	0	0
YGL045W	519	515	484
YGL044C	531	468	480
YGL043W	946	792	821
YGL042C	6	4	6
YGL041C-B	12	10	10
YGL041W-A	523	458	478
YGL041C	10	5	5
YGL040C	1850	1676	1712
tL(CAA)G2	3	0	1
YGL039W	811	704	789
YGL038C	1036	894	839
YGL037C	11582	9853	9721
YGL036W	1256	879	952
YGL035C	843	573	667
YGL034C	6	2	2
YGL033W	26	17	22
YGL032C	459	434	457
YGL031C	13337	11516	12243
YGL030W	15674	14310	15577
YGL029W	453	384	381
tF(GAA)G	1	1	0
YGL028C	860	782	817
YGL027C	1276	1270	1242
YGL026C	3943	3551	3770
YGL025C	476	452	452
YGL024W	14	6	12
YGL023C	825	604	671
YGL022W	2928	2926	2874
YGL021W	559	495	522
YGL020C	921	777	784
YGL019W	1327	1278	1298
YGL018C	248	219	215
YGL017W	596	554	507
YGL016W	631	604	607
YGL015C	4	2	4
YGL014W	961	791	824
YGL014C-A	0	0	1
YGL013C	898	830	783
YGL012W	3671	3435	3519
YGL011C	2841	2650	2517
YGL010W	362	294	310
YGL009C	5063	4830	4375
YGL008C	36479	34237	36899
YGL007C-A	3	2	5
YGL007W	3	2	3
YGL006W-A	50	41	36
YGL006W	2180	2028	1922
YGL005C	676	571	608
YGL004C	585	517	502
YGL003C	653	560	592
YGL002W	739	591	630
YGL001C	1366	1346	1282
YGR001C	972	936	969
YGR002C	719	622	596
YGR003W	370	402	425
YGR004W	303	289	252
YGR005C	1140	1103	1023
YGR006W	162	155	143
YGR007W	940	841	875
YGR008C	6157	5166	5224
YGR009C	1243	1108	1051
YGR010W	450	388	389
YGR011W	62	75	55
YGR012W	791	668	652
YGR013W	804	649	651
YGR014W	729	623	644
YGR015C	347	261	309
YGR016W	115	119	126
YGR017W	1473	1304	1310
YGR018C	26	19	24
YGR019W	1571	1317	1251
YGR020C	2091	1791	1777
YGR021W	312	275	235
YGR022C	0	5	2
YGR023W	284	250	236
tD(GUC)G1	0	3	0
YGR024C	914	863	833
YGR025W	87	111	89
YGR026W	1677	1585	1491
YGR027C	11041	9616	9886
YGR027W-A	0	0	0
YGR027W-B	23	18	30
tE(UUC)G3	0	3	1
YGR028W	814	642	631
YGR029W	542	428	413
tD(GUC)G2	4	4	4
snR46	125	97	122
YGR030C	286	252	242
YGR031W	799	674	720
YGR031C-A	17	16	8
YGR032W	1408	1231	1254
YGR033C	1018	859	907
YGR034W	9470	8307	9061
YGR035C	378	285	323
YGR035W-A	0	0	0
YGR036C	362	354	331
YGR037C	3730	3171	3305
YGR038W	571	502	523
tS(AGA)G	0	0	1
YGR038C-B	6	6	3
YGR038C-A	0	0	0
YGR039W	39	36	31
YGR040W	391	404	358
YGR041W	246	264	231
YGR042W	375	354	300
YGR043C	662	688	618
YGR044C	909	824	840
YGR045C	29	33	20
YGR046W	831	709	722
YGR047C	410	408	398
YGR048W	910	744	791
YGR049W	266	240	200
YGR050C	55	43	44
YGR051C	2	5	1
YGR052W	721	718	621
YGR053C	117	95	114
YGR054W	1588	1238	1364
YGR055W	1663	1226	1204
YGR056W	683	555	649
YGR057C	499	419	378
YGR058W	411	429	382
YGR059W	34	22	22
snR48	37	26	31
YGR060W	2951	2661	2784
YGR061C	4193	4154	4181
YGR062C	362	305	291
YGR063C	304	270	246
YGR064W	31	22	13
YGR065C	439	351	359
YGR066C	70	61	68
YGR067C	790	667	668
YGR068C	295	202	250
YGR068W-A	7	10	12
YGR069W	31	22	21
YGR070W	1393	1192	1111
YGR071C	514	427	411
YGR072W	771	675	601
YGR073C	42	46	50
YGR074W	489	458	430
YGR075C	150	130	118
YGR076C	448	367	394
YGR077C	671	586	591
YGR078C	719	543	621
YGR079W	100	77	84
YGR080W	952	922	902
YGR081C	695	567	573
YGR082W	1197	1010	1062
YGR083C	1673	1547	1525
YGR084C	621	551	486
YGR085C	4767	4059	4488
YGR086C	10034	8599	8259
YGR087C	15	16	16
YGR088W	1850	1635	1534
YGR089W	1006	932	893
tT(UGU)G1	0	0	0
YGR090W	1325	1291	1239
YGR091W	409	356	319
YGR092W	723	625	618
YGR093W	603	587	571
YGR094W	10851	10353	10450
YGR095C	788	707	709
YGR096W	102	121	82
YGR097W	1225	1004	1063
YGR098C	439	398	351
YGR099W	454	413	388
YGR100W	956	855	800
YGR101W	507	465	458
YGR102C	426	296	357
YGR103W	5313	4799	5096
YGR104C	409	358	357
YGR105W	465	438	481
YGR106C	3261	2940	2970
tL(GAG)G	0	1	1
tK(UUU)G2	1	1	1
YGR107W	6	10	4
YGR108W	527	414	403
YGR109C	19	23	15
tC(GCA)G	0	0	0
YGR109W-A	0	0	0
YGR109W-B	192	163	149
YGR110W	222	196	208
YGR111W	707	667	713
YGR112W	641	489	487
YGR113W	631	558	531
YGR114C	0	0	0
YGR115C	0	1	1
YGR116W	3013	2878	2604
YGR117C	759	672	616
YGR118W	7100	6265	6576
YGR119C	1383	1168	1246
YGR120C	460	435	378
tN(GUU)G	1	0	2
YGR121C	319	237	247
YGR121W-A	19	10	16
YGR122W	1025	1003	902
YGR122C-A	24	20	32
tR(UCU)G3	2	0	2
YGR123C	891	769	783
tI(AAU)G	0	3	1
YGR124W	10588	9925	9800
YGR125W	888	796	757
YGR126W	62	44	61
YGR127W	596	506	536
YGR128C	1674	1709	1650
YGR129W	251	236	223
YGR130C	4205	3721	3433
YGR131W	122	79	103
YGR132C	2631	2241	2341
YGR133W	258	211	188
YGR134W	527	442	476
YGR135W	2974	2626	2740
YGR136W	1636	1359	1404
YGR137W	464	438	427
YGR138C	618	667	801
YGR139W	1	0	2
YGR140W	491	449	462
YGR141W	464	460	511
YGR142W	2482	2959	2940
tA(AGC)G	0	0	0
YGR143W	1280	1125	1053
tG(UCC)G	0	0	0
YGR144W	35	31	31
YGR145W	1299	1245	1261
YGR146C	478	430	442
YGR146C-A	27	7	21
YGR147C	891	828	753
YGR148C	7612	6586	6764
YGR149W	727	615	628
YGR150C	547	525	498
tA(UGC)G	0	0	0
YGR151C	30	21	25
YGR152C	548	425	487
YGR153W	71	63	72
YGR154C	367	283	282
YGR155W	11552	10504	10712
YGR156W	365	318	335
YGR157W	1911	1771	1773
YGR158C	643	511	555
YGR159C	3842	3564	3571
YGR160W	2	4	1
YGR161C	3810	2475	2771
YGR161W-C	435	355	333
YGR161W-A	0	0	0
YGR161W-B	1	2	1
YGR161C-D	21	23	31
YGR161C-C	0	0	0
tV(AAC)G2	0	0	0
YGR162W	4184	3953	3875
YGR163W	787	702	696
YGR164W	0	0	0
tR(UCU)G2	9	10	11
YGR165W	922	800	839
YGR166W	475	431	433
YGR167W	2266	1895	1968
YGR168C	377	356	383
YGR169C	353	331	314
YGR169C-A	685	548	580
YGR170W	1046	954	860
YGR171C	408	363	361
YGR172C	917	663	712
YGR173W	872	781	823
tG(GCC)G1	6	5	5
YGR174C	540	431	489
YGR174W-A	66	45	54
YGR175C	2704	2442	2474
YGR176W	5	6	5
YGR177C	651	614	617
YGR178C	2416	2215	2129
YGR179C	399	357	336
YGR180C	4995	4799	4717
tL(CAA)G3	1	0	0
YGR181W	668	449	558
YGR182C	397	393	366
YGR183C	963	842	850
YGR184C	1332	1331	1263
YGR185C	3538	3305	3299
YGR186W	2057	1917	1853
YGR187C	612	572	629
YGR188C	75	72	64
tK(CUU)G3	0	0	0
