sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YBR070C	35.8066837862658	44.0949897829955	41.3132218378962	45.6975242689884	37.6579858491381	35.2795312499907	40.7849409218422	40.2000047344253	35.8192909133404
YBR071W	63.1008352007024	64.1658127187038	65.857239239746	165.954167082116	129.449326356412	226.204053308764	163.139763687369	141.882369650913	127.158482742359
YBR072W	106.339094867137	143.232690950282	134.306082801426	108.230978531815	82.3768440449896	124.515992647026	111.715272959829	80.4000094688506	82.384369100683
YBR072C-A	0.945836930203248	0.456155066720643	1.06713119138477	4.8102657125251	2.35362411557113	6.22579963235131	5.31977490284898	4.7294123216971	1.79096454566702
YBR073W	127.417746454523	130.308297393197	132.019373105602	175.574698507166	164.753688089979	147.343924632314	127.674597668376	163.16472509855	119.99462455969
YBR074W	119.310572767067	125.746746725991	128.208190279228	214.056824207367	190.643553361262	197.150321691125	195.058413104463	191.541199028732	202.378993660374
YBR076W	4.32382596664342	3.80129222267203	3.35384088720929	16.8359299938378	16.4753688089979	18.6773988970539	3.54651660189932	0	0
YBR076C-A	16.484586497828	20.526978002429	19.0559141318709	26.456461418888	16.4753688089979	16.6021323529368	17.7325830094966	7.09411848254564	8.95482272833511
YBR077C	83.0985302964282	73.5930174309305	73.3271575794394	69.7488528316139	75.3159716982762	85.0859283088012	81.5698818436844	70.9411848254564	73.4295463723479
YBR078W	1005.15441768314	1043.98689603465	989.535509039794	278.995411326456	322.446503833245	251.107251838169	177.325830094966	231.741203763158	229.243461845379
YBR079C	915.299909313829	936.942507044202	930.081056948357	173.169565650904	192.997177476833	155.644990808783	276.628294948147	250.658853049946	358.192909133404
YBR080C	247.26879746742	247.692201229309	270.898875298677	180.384964219691	145.92469516541	207.52665441171	212.790996113959	184.447080546187	216.70671002571
YBR081C	107.555170920255	113.734663302347	121.348061191754	190.005495644741	169.460936321121	236.58038602935	191.511896502563	212.823554476369	220.288639117044
tR(UCU)B	0	0	0	0	0	0	0	0	0
tD(GUC)B	0	0	0	0	0	0	0	2.36470616084855	0
YBR082C	626.414286917465	622.195511006958	651.254921370821	1863.97796360348	1784.04707960292	1936.22368566126	1296.2518179942	1603.27077705532	1219.64685559924
YBR083W	162.819071556416	148.098344995302	148.636130228593	245.32355133878	167.10731220555	226.204053308764	255.349195336751	189.176492867884	207.751887297375
YBR084W	460.352345886067	517.73600072793	526.095677352693	182.790097075954	164.753688089979	186.773988970539	195.058413104463	262.482383854189	209.542851843042
YBR084C-A	1845.32785082654	1897.75712924678	1882.8767635419	1173.70483385612	1289.78601533298	1369.67591911729	1305.11810949895	1142.15307568985	1278.74868560625
YBR085W	8.51253237182923	10.4915665345748	8.53704953107818	0	2.35362411557113	4.1505330882342	12.4128081066476	7.09411848254564	10.7457872740021
