sgd_id	yeast_rnaseq_1	yeast_rnaseq_2	yeast_rnaseq_3	yeast_stripeseq_unpooled_1	yeast_stripeseq_unpooled_2	yeast_stripeseq_unpooled_3	yeast_stripeseq_pooled_1	yeast_stripeseq_pooled_2	yeast_stripeseq_pooled_3
YDL133C-A	5935	5218	4981	114	155	155	298	197	261
YDL133W	588	469	515	38	32	52	51	40	46
YDL132W	1834	1613	1660	60	47	67	61	34	94
YDL131W	2598	2375	2348	88	90	101	138	97	116
YDL130W-A	954	791	838	124	134	176	173	142	148
YDL130W	5580	4981	5255	231	317	303	430	338	367
YDL129W	499	419	394	69	63	83	92	64	91
YDL128W	1843	1687	1689	21	12	14	21	11	24
YDL127W	214	194	187	20	14	15	11	19	12
YDL126C	10247	9036	9328	314	316	393	722	550	988
YDL125C	3111	2726	2809	57	62	65	73	53	49
YDL124W	6861	6391	5677	232	265	241	301	219	327
YDL123W	434	370	313	107	95	113	65	48	58
YDL122W	1494	1318	1377	58	65	79	150	118	198
YDL121C	891	808	754	204	213	254	332	221	298
YDL120W	682	463	516	28	30	28	36	28	32
YDL119C	310	225	249	14	16	19	33	14	25
YDL118W	3	0	0	0	0	1	0	0	0
YDL117W	573	534	529	52	64	50	58	47	66
YDL116W	1344	1215	1267	34	52	52	46	29	44
YDL115C	868	686	696	86	87	90	144	107	135
YDL114W-A	3	1	3	1	0	0	0	0	0
YDL114W	3	2	1	1	0	1	0	2	0
YDL113C	1203	1024	985	114	105	146	140	104	154
YDL112W	1045	1074	1036	53	36	58	72	54	82
YDL111C	945	925	714	32	32	40	47	31	42
YDL110C	1262	1003	1015	50	49	64	111	83	81
YDL109C	198	198	171	15	14	22	15	13	23
YDL108W	431	403	425	32	46	52	45	33	37
YDL107W	220	200	209	44	32	31	36	22	20
YDL106C	689	592	626	66	60	85	75	60	74
YDL105W	182	168	181	17	12	14	20	14	23
YDL104C	163	137	136	5	5	4	12	6	5
YDL103C	863	775	830	19	11	11	13	8	11
YDL102W	416	417	430	44	41	59	56	36	62
YDL101C	286	250	272	12	11	19	30	14	24
YDL100C	3342	2995	3122	149	134	161	269	183	330
YDL099W	1341	1133	1150	375	406	426	478	411	463
YDL098C	207	173	135	62	52	69	77	41	80
YDL097C	3749	3362	3294	49	79	77	140	114	128
YDL096C	0	1	0	0	0	0	0	0	0
YDL095W	2185	2189	2096	36	31	42	51	52	62
YDL094C	4	7	5	0	0	2	0	0	0
YDL093W	475	429	458	7	4	5	12	10	12
YDL092W	976	863	807	44	52	55	76	52	51
YDL091C	610	530	521	53	31	51	50	37	52
YDL090C	370	345	364	10	13	12	16	6	17
YDL089W	416	364	407	10	6	15	28	10	23
YDL088C	1003	875	935	78	69	69	75	66	78
YDL087C	251	205	199	18	18	12	14	12	11
YDL086W	1239	1103	1039	35	31	34	36	33	34
YDL086C-A	51	63	55	5	2	4	6	2	4
YDL085C-A	268	222	223	38	42	58	85	57	66
YDL085W	116	115	113	13	17	15	18	4	12
YDL084W	6801	6433	6431	137	158	162	180	170	232
YDL083C	9700	8837	8621	198	217	220	205	199	207
YDL082W	8713	8188	7983	369	368	393	328	291	350
YDL081C	8253	7470	6208	115	134	159	288	156	223
YDL080C	704	558	640	15	23	16	23	22	13
YDL079C	1706	1340	1378	191	190	521	295	249	301
YDL078C	1861	1775	1812	33	62	44	40	32	36
YDL077C	667	595	618	30	23	29	42	25	51
YDL076C	648	584	605	109	114	124	189	130	212
YDL075W	11322	10485	10091	338	379	410	524	401	474
snR63	210	144	178	5	6	3	25	13	26
YDL074C	1574	1393	1433	53	50	61	85	61	96
YDL073W	692	623	639	11	8	7	18	4	21
YDL072C	2652	2409	2322	47	47	37	69	55	58
YDL071C	16	16	8	2	2	0	2	3	2
YDL070W	1928	1670	1579	140	107	144	174	130	185
YDL069C	154	136	149	26	25	21	32	17	24
YDL068W	7	10	4	0	0	0	0	0	1
