sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
K562-unpooled_WT-100ng_3	Promoter	1	205477	0.565094949328273	664037	0.721142860866279	26121
K562-unpooled_WT-100ng_3	Promoter	2	86215	0.805446562032885	544775	0.820151542295897	12320
K562-unpooled_WT-100ng_3	Promoter	3	54752	0.839883417702102	481849	0.830005667166778	8983
K562-unpooled_WT-100ng_3	Promoter	4	39644	0.848163282771015	436525	0.83117538414669	7354
K562-unpooled_WT-100ng_3	Promoter	5	30716	0.8489773355445	400813	0.829933367291581	6307
K562-unpooled_WT-100ng_3	Promoter	6	24851	0.847145048576785	371488	0.827881913260133	5490
K562-unpooled_WT-100ng_3	Promoter	7	20574	0.844200073858274	345826	0.825484500056094	4909
K562-unpooled_WT-100ng_3	Promoter	8	17380	0.842095062745288	323468	0.823465618500406	4434
K562-unpooled_WT-100ng_3	Promoter	9	14930	0.839377073143307	303868	0.821271523823166	4022
K562-unpooled_WT-100ng_3	Promoter	10	12924	0.836450715164067	285814	0.819014651563301	3657
K562-unpooled_WT-100ng_3	Promoter	11	11425	0.83461173204763	270824	0.817327744127864	3392
K562-unpooled_WT-100ng_3	Promoter	12	10075	0.829627799736495	255974	0.814275443920626	3098
K562-unpooled_WT-100ng_3	Promoter	13	9012	0.826182618261826	243218	0.81200964190087	2881
K562-unpooled_WT-100ng_3	Promoter	14	8147	0.824094679344528	231973	0.810414337618781	2690
K562-unpooled_WT-100ng_3	Promoter	15	7303	0.819916919276973	220157	0.807814804758305	2507
K562-unpooled_WT-100ng_3	Promoter	16	6595	0.816414954196583	209537	0.805604788945748	2346
K562-unpooled_WT-100ng_3	Promoter	17	5987	0.81389342033714	199809	0.803908315127521	2193
K562-unpooled_WT-100ng_3	Promoter	18	5458	0.810875055712376	190816	0.802010743016619	2041
K562-unpooled_WT-100ng_3	Promoter	19	5028	0.807321772639692	183076	0.799919604313403	1927
K562-unpooled_WT-100ng_3	Promoter	20	4652	0.808481056656239	175932	0.800192848241169	1796
K562-unpooled_WT-100ng_3	Promoter	21	4297	0.806342653405892	168832	0.79878123787625	1705
K562-unpooled_WT-100ng_3	Promoter	22	3959	0.804347826086957	161734	0.797445948277987	1615
K562-unpooled_WT-100ng_3	Promoter	23	3650	0.803080308030803	154936	0.796500120809578	1526
K562-unpooled_WT-100ng_3	Promoter	24	3382	0.80009462976106	148772	0.794692506156287	1437
K562-unpooled_WT-100ng_3	Promoter	25	3157	0.802695143656242	143372	0.795843486852696	1369
K562-unpooled_WT-100ng_3	Promoter	26	2940	0.803059273422562	137947	0.79576696990499	1307
K562-unpooled_WT-100ng_3	Promoter	27	2730	0.801526717557252	132487	0.794662939881599	1231
K562-unpooled_WT-100ng_3	Promoter	28	2555	0.800689439047321	127762	0.793967038703423	1171
K562-unpooled_WT-100ng_3	Promoter	29	2386	0.796661101836394	123030	0.791556218956687	1114
K562-unpooled_WT-100ng_3	Promoter	30	2241	0.796092362344583	118825	0.791069716659565	1056
K562-unpooled_WT-100ng_3	Promoter	31	2121	0.795573893473368	115225	0.790631132580384	1020
K562-unpooled_WT-100ng_3	Promoter	32	2008	0.794932699920823	111722	0.790124329905656	973
K562-unpooled_WT-100ng_3	Promoter	33	1898	0.79314667781028	108202	0.788977847778215	931
K562-unpooled_WT-100ng_3	Promoter	34	1782	0.791648156374944	104374	0.787989974029112	890
K562-unpooled_WT-100ng_3	Promoter	35	1687	0.790904828879512	101144	0.787456011958519	849
K562-unpooled_WT-100ng_3	Promoter	36	1594	0.7902825979177	97889	0.786990288139954	804
K562-unpooled_WT-100ng_3	Promoter	37	1512	0.789144050104384	94937	0.786240765892603	779
K562-unpooled_WT-100ng_3	Promoter	38	1422	0.78693967902601	91607	0.784877693526967	746
K562-unpooled_WT-100ng_3	Promoter	39	1362	0.788194444444444	89327	0.785547826545777	720
K562-unpooled_WT-100ng_3	Promoter	40	1292	0.789731051344743	86597	0.786351872871737	693
K562-unpooled_WT-100ng_3	Promoter	41	1224	0.787644787644788	83877	0.785034395619823	667
K562-unpooled_WT-100ng_3	Promoter	42	1174	0.785809906291834	81827	0.783896153661925	639
K562-unpooled_WT-100ng_3	Promoter	43	1114	0.783954961294863	79307	0.782745585724297	615
K562-unpooled_WT-100ng_3	Promoter	44	1054	0.782479584261321	76727	0.781835597175377	592
K562-unpooled_WT-100ng_3	Promoter	45	1010	0.780525502318393	74791	0.780658629507854	567
K562-unpooled_WT-100ng_3	Promoter	46	962	0.77831715210356	72631	0.779344385428403	549
K562-unpooled_WT-100ng_3	Promoter	47	918	0.776649746192893	70607	0.778373074930273	535
K562-unpooled_WT-100ng_3	Promoter	48	875	0.774336283185841	68586	0.777028787655636	514
K562-unpooled_WT-100ng_3	Promoter	49	837	0.776437847866419	66762	0.778374975224726	495
K562-unpooled_WT-100ng_3	Promoter	50	806	0.777242044358727	65243	0.778909290609107	478
