sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
K562-pooled_WT-100ng_1	Promoter	1	262897	0.431815419386418	831420	0.611667456307365	28687
K562-pooled_WT-100ng_1	Promoter	2	104302	0.730564758455967	672825	0.75325871930624	13163
K562-pooled_WT-100ng_1	Promoter	3	66268	0.787526590371612	596757	0.769041528399755	9574
K562-pooled_WT-100ng_1	Promoter	4	48324	0.80368547099521	542925	0.771290121860785	7872
K562-pooled_WT-100ng_1	Promoter	5	37659	0.806229929351317	500265	0.769347293178274	6779
K562-pooled_WT-100ng_1	Promoter	6	30428	0.803591707381487	464110	0.765831547091602	6006
K562-pooled_WT-100ng_1	Promoter	7	25412	0.801716250749282	434014	0.762748829991582	5379
K562-pooled_WT-100ng_1	Promoter	8	21570	0.797323771855247	407120	0.75883728949404	4897
K562-pooled_WT-100ng_1	Promoter	9	18610	0.792927141031104	383440	0.755039471015534	4455
K562-pooled_WT-100ng_1	Promoter	10	16219	0.788171833997473	361921	0.751164871018424	4107
K562-pooled_WT-100ng_1	Promoter	11	14325	0.781718963165075	342981	0.746774864299354	3802
K562-pooled_WT-100ng_1	Promoter	12	12755	0.776749284452835	325711	0.743057314087955	3533
K562-pooled_WT-100ng_1	Promoter	13	11415	0.772850372376439	309631	0.739811290549953	3271
K562-pooled_WT-100ng_1	Promoter	14	10255	0.766499738395994	294551	0.735561027259742	3054
K562-pooled_WT-100ng_1	Promoter	15	9255	0.762481463173505	280551	0.732375283890673	2861
K562-pooled_WT-100ng_1	Promoter	16	8414	0.757608499909959	267936	0.728899045131804	2689
K562-pooled_WT-100ng_1	Promoter	17	7669	0.752896131945808	256016	0.725524980871142	2545
K562-pooled_WT-100ng_1	Promoter	18	6992	0.747327917913638	244507	0.721770575038375	2390
K562-pooled_WT-100ng_1	Promoter	19	6434	0.742784576310321	234463	0.718620888349455	2266
K562-pooled_WT-100ng_1	Promoter	20	5901	0.73744063984004	224336	0.715065279477764	2129
K562-pooled_WT-100ng_1	Promoter	21	5455	0.734185733512786	215416	0.712618430106389	2017
K562-pooled_WT-100ng_1	Promoter	22	5038	0.730992455020313	206659	0.710192790130245	1898
K562-pooled_WT-100ng_1	Promoter	23	4683	0.726835325159087	198849	0.707365747460087	1794
K562-pooled_WT-100ng_1	Promoter	24	4353	0.722130059721301	191259	0.704279238640925	1703
K562-pooled_WT-100ng_1	Promoter	25	4039	0.718172119487909	183723	0.701578257997258	1613
K562-pooled_WT-100ng_1	Promoter	26	3737	0.712352268394968	176173	0.697933214748377	1534
K562-pooled_WT-100ng_1	Promoter	27	3487	0.708307942311599	169673	0.695315605496203	1449
K562-pooled_WT-100ng_1	Promoter	28	3263	0.704599438566184	163625	0.692918154138029	1372
K562-pooled_WT-100ng_1	Promoter	29	3048	0.701980654076462	157605	0.691107534850272	1308
K562-pooled_WT-100ng_1	Promoter	30	2864	0.700244498777506	152269	0.689814668001577	1245
K562-pooled_WT-100ng_1	Promoter	31	2688	0.698363211223694	146989	0.688444046855168	1191
K562-pooled_WT-100ng_1	Promoter	32	2551	0.699287280701754	142742	0.688650025569525	1141
K562-pooled_WT-100ng_1	Promoter	33	2407	0.696067090803933	138134	0.68655752045249	1084
K562-pooled_WT-100ng_1	Promoter	34	2278	0.694088970140158	133877	0.685178361226265	1034
K562-pooled_WT-100ng_1	Promoter	35	2149	0.690109184328837	129491	0.682688556395576	995
K562-pooled_WT-100ng_1	Promoter	36	2052	0.688359610868836	126096	0.681515271074407	952
K562-pooled_WT-100ng_1	Promoter	37	1937	0.687123093295495	121956	0.680592217243054	909
K562-pooled_WT-100ng_1	Promoter	38	1853	0.685534591194969	118848	0.679523610769644	875
K562-pooled_WT-100ng_1	Promoter	39	1746	0.681764935572042	114782	0.677167955729397	836
K562-pooled_WT-100ng_1	Promoter	40	1677	0.681430312880943	112091	0.676865757262851	821
K562-pooled_WT-100ng_1	Promoter	41	1585	0.679091688089117	108411	0.675361163197797	790
K562-pooled_WT-100ng_1	Promoter	42	1498	0.675687866486243	104844	0.673259442867601	757
K562-pooled_WT-100ng_1	Promoter	43	1423	0.674088109900521	101694	0.67225035366289	726
K562-pooled_WT-100ng_1	Promoter	44	1367	0.673399014778325	99286	0.671800041951134	705
K562-pooled_WT-100ng_1	Promoter	45	1307	0.673017507723996	96646	0.671530513691729	674
K562-pooled_WT-100ng_1	Promoter	46	1246	0.667738478027867	93901	0.668339276436131	653
K562-pooled_WT-100ng_1	Promoter	47	1202	0.667036625971143	91877	0.66792919195958	631
K562-pooled_WT-100ng_1	Promoter	48	1155	0.669177288528389	89668	0.669249083838995	614
K562-pooled_WT-100ng_1	Promoter	49	1100	0.670322973796466	87028	0.669946036658122	585
K562-pooled_WT-100ng_1	Promoter	50	1054	0.67219387755102	84774	0.671073254911895	567
