sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
K562-unpooled_WT-100ng_1	Promoter	1	177430	0.596190937010679	581109	0.74612307052301	24706
K562-unpooled_WT-100ng_1	Promoter	2	75758	0.812174360513733	479437	0.834514629858488	11847
K562-unpooled_WT-100ng_1	Promoter	3	48097	0.850581827184947	424115	0.846459207338248	8565
K562-unpooled_WT-100ng_1	Promoter	4	34813	0.860983330860167	384263	0.848806078946787	6939
K562-unpooled_WT-100ng_1	Promoter	5	27008	0.864560325234483	353043	0.848803885269156	5879
K562-unpooled_WT-100ng_1	Promoter	6	21863	0.865621411885814	327318	0.847930159059116	5162
K562-unpooled_WT-100ng_1	Promoter	7	18119	0.863714367432548	304854	0.846003563241995	4581
K562-unpooled_WT-100ng_1	Promoter	8	15300	0.861340989697686	285121	0.843950260625561	4103
K562-unpooled_WT-100ng_1	Promoter	9	13139	0.858926586912466	267833	0.841942957376781	3703
K562-unpooled_WT-100ng_1	Promoter	10	11487	0.856919060052219	252965	0.840178022817477	3393
K562-unpooled_WT-100ng_1	Promoter	11	10067	0.852124597934654	238765	0.83725782414307	3120
K562-unpooled_WT-100ng_1	Promoter	12	8887	0.849780072671639	225785	0.835439337820387	2869
K562-unpooled_WT-100ng_1	Promoter	13	7868	0.847388260635433	213557	0.833611129544115	2672
K562-unpooled_WT-100ng_1	Promoter	14	7077	0.847037701974865	203274	0.832772754646794	2480
K562-unpooled_WT-100ng_1	Promoter	15	6391	0.845929847782925	193670	0.831583602770371	2295
K562-unpooled_WT-100ng_1	Promoter	16	5789	0.843754554729631	184640	0.829906105185565	2145
K562-unpooled_WT-100ng_1	Promoter	17	5267	0.843664904693257	176288	0.829219878172111	1991
K562-unpooled_WT-100ng_1	Promoter	18	4799	0.841486936699982	168332	0.827529926504928	1870
K562-unpooled_WT-100ng_1	Promoter	19	4422	0.841324200913242	161546	0.826876321217798	1757
K562-unpooled_WT-100ng_1	Promoter	20	4054	0.838296112489661	154554	0.82477626755039	1654
K562-unpooled_WT-100ng_1	Promoter	21	3747	0.836197277393439	148414	0.82320052804109	1556
K562-unpooled_WT-100ng_1	Promoter	22	3445	0.833938513677076	142072	0.821515100700247	1466
K562-unpooled_WT-100ng_1	Promoter	23	3193	0.831943720687858	136528	0.82002246340687	1386
K562-unpooled_WT-100ng_1	Promoter	24	2984	0.832124930284439	131721	0.819685495062136	1317
K562-unpooled_WT-100ng_1	Promoter	25	2798	0.832738095238095	127257	0.819569403566621	1262
K562-unpooled_WT-100ng_1	Promoter	26	2613	0.831371301304486	122632	0.818375954300358	1199
K562-unpooled_WT-100ng_1	Promoter	27	2436	0.828289697381843	118030	0.816274309109519	1130
K562-unpooled_WT-100ng_1	Promoter	28	2263	0.824107793153678	113359	0.813594964508975	1083
K562-unpooled_WT-100ng_1	Promoter	29	2110	0.818781528909585	109075	0.810370062184712	1017
K562-unpooled_WT-100ng_1	Promoter	30	1990	0.819942315615987	105595	0.810716397054872	970
K562-unpooled_WT-100ng_1	Promoter	31	1885	0.818853171155517	102445	0.809848299196041	932
K562-unpooled_WT-100ng_1	Promoter	32	1777	0.818139963167588	99097	0.809159869028081	896
K562-unpooled_WT-100ng_1	Promoter	33	1680	0.815533980582524	95993	0.807444168734491	864
K562-unpooled_WT-100ng_1	Promoter	34	1590	0.814132104454685	93023	0.806413301662708	825
K562-unpooled_WT-100ng_1	Promoter	35	1503	0.811555075593952	90065	0.80472659042173	789
K562-unpooled_WT-100ng_1	Promoter	36	1424	0.80955088118249	87300	0.803386555008512	754
K562-unpooled_WT-100ng_1	Promoter	37	1347	0.806104129263914	84528	0.801236054105804	723
K562-unpooled_WT-100ng_1	Promoter	38	1264	0.802539682539683	81457	0.79902888812595	689
K562-unpooled_WT-100ng_1	Promoter	39	1195	0.804172274562584	78835	0.799843754755841	659
K562-unpooled_WT-100ng_1	Promoter	40	1138	0.805378627034678	76612	0.800409544903673	631
K562-unpooled_WT-100ng_1	Promoter	41	1082	0.806860551826995	74372	0.801111637726744	609
K562-unpooled_WT-100ng_1	Promoter	42	1031	0.802959501557632	72281	0.79869390821998	596
K562-unpooled_WT-100ng_1	Promoter	43	992	0.801292407108239	70643	0.797622139171475	573
K562-unpooled_WT-100ng_1	Promoter	44	939	0.797790994052676	68364	0.795448198827143	547
K562-unpooled_WT-100ng_1	Promoter	45	900	0.800711743772242	66648	0.797110462613022	528
K562-unpooled_WT-100ng_1	Promoter	46	864	0.804469273743017	65028	0.799242889801136	511
K562-unpooled_WT-100ng_1	Promoter	47	834	0.806576402321083	63648	0.800382284147783	494
K562-unpooled_WT-100ng_1	Promoter	48	796	0.808121827411168	61862	0.801124075680856	475
K562-unpooled_WT-100ng_1	Promoter	49	765	0.805263157894737	60374	0.799242775255166	459
K562-unpooled_WT-100ng_1	Promoter	50	723	0.803333333333333	58316	0.797876561452476	443
