sample	annotation	threshold	n.unique	perc.unique	n.total	perc.total	n.genes
K562-pooled_WT-100ng_2	Promoter	1	244401	0.446248623737627	755029	0.617585879993358	27749
K562-pooled_WT-100ng_2	Promoter	2	96522	0.743351790953969	607150	0.754488845146803	12584
K562-pooled_WT-100ng_2	Promoter	3	60914	0.794526980317477	535934	0.767421247299018	9136
K562-pooled_WT-100ng_2	Promoter	4	43934	0.805551990318854	484994	0.767428355325307	7474
K562-pooled_WT-100ng_2	Promoter	5	34017	0.80547925743512	445326	0.76418673690894	6446
K562-pooled_WT-100ng_2	Promoter	6	27595	0.803277734113469	413216	0.760496917272476	5725
K562-pooled_WT-100ng_2	Promoter	7	23071	0.798802022020636	386072	0.756226935462388	5111
K562-pooled_WT-100ng_2	Promoter	8	19428	0.7930443301494	360571	0.751446327495228	4617
K562-pooled_WT-100ng_2	Promoter	9	16666	0.78728329160565	338475	0.746849101067069	4214
K562-pooled_WT-100ng_2	Promoter	10	14512	0.781854425946878	319089	0.742530228142191	3854
K562-pooled_WT-100ng_2	Promoter	11	12670	0.775113177535789	300669	0.73768959375046	3544
K562-pooled_WT-100ng_2	Promoter	12	11316	0.770162662492343	285775	0.733887349479583	3280
K562-pooled_WT-100ng_2	Promoter	13	10122	0.763290852876857	271447	0.729274747121959	3048
K562-pooled_WT-100ng_2	Promoter	14	9029	0.754491518342107	257238	0.723812793161373	2830
K562-pooled_WT-100ng_2	Promoter	15	8165	0.749082568807339	245142	0.720042296338723	2645
K562-pooled_WT-100ng_2	Promoter	16	7419	0.743610303698507	233952	0.716303848626803	2478
K562-pooled_WT-100ng_2	Promoter	17	6780	0.738964577656676	223728	0.713013659338768	2343
K562-pooled_WT-100ng_2	Promoter	18	6168	0.735073292813729	213324	0.710014977533699	2206
K562-pooled_WT-100ng_2	Promoter	19	5657	0.731634764614589	204126	0.707326707971225	2068
K562-pooled_WT-100ng_2	Promoter	20	5202	0.726130653266332	195481	0.703685438235252	1951
K562-pooled_WT-100ng_2	Promoter	21	4755	0.72154779969651	186541	0.700449841541627	1842
K562-pooled_WT-100ng_2	Promoter	22	4393	0.717224489795918	178939	0.697479253637678	1739
K562-pooled_WT-100ng_2	Promoter	23	4076	0.715087719298246	171965	0.695648480386406	1647
K562-pooled_WT-100ng_2	Promoter	24	3781	0.710447200300639	165180	0.692558289693804	1533
K562-pooled_WT-100ng_2	Promoter	25	3516	0.70630775411812	158820	0.689768991231308	1456
K562-pooled_WT-100ng_2	Promoter	26	3284	0.700960512273212	153020	0.686416120147493	1388
K562-pooled_WT-100ng_2	Promoter	27	3058	0.697695642254164	147144	0.684155220993705	1307
K562-pooled_WT-100ng_2	Promoter	28	2866	0.693946731234867	141960	0.681703586675182	1237
K562-pooled_WT-100ng_2	Promoter	29	2694	0.691655969191271	137144	0.680065257384845	1180
K562-pooled_WT-100ng_2	Promoter	30	2514	0.688201478237065	131924	0.677767217241645	1107
K562-pooled_WT-100ng_2	Promoter	31	2365	0.686900958466454	127454	0.676704982877167	1059
K562-pooled_WT-100ng_2	Promoter	32	2225	0.683773816840811	123114	0.67464901417095	1018
K562-pooled_WT-100ng_2	Promoter	33	2101	0.682364404027282	119146	0.673575070949651	976
K562-pooled_WT-100ng_2	Promoter	34	1989	0.680931187949332	115450	0.672503378535812	936
K562-pooled_WT-100ng_2	Promoter	35	1885	0.679034582132565	111914	0.671180626356887	899
K562-pooled_WT-100ng_2	Promoter	36	1780	0.674242424242424	108239	0.668216221555481	861
K562-pooled_WT-100ng_2	Promoter	37	1675	0.672420714572461	104459	0.666966759887114	823
K562-pooled_WT-100ng_2	Promoter	38	1591	0.671875	101351	0.666489113351352	788
K562-pooled_WT-100ng_2	Promoter	39	1521	0.670930745478606	98691	0.665800889164738	760
K562-pooled_WT-100ng_2	Promoter	40	1434	0.66884328358209	95298	0.664412404484355	725
K562-pooled_WT-100ng_2	Promoter	41	1369	0.667804878048781	92698	0.663683487026748	701
K562-pooled_WT-100ng_2	Promoter	42	1290	0.66289825282631	89459	0.660662590098074	679
K562-pooled_WT-100ng_2	Promoter	43	1232	0.662365591397849	87023	0.660285592885975	655
K562-pooled_WT-100ng_2	Promoter	44	1178	0.662542182227222	84701	0.660333671162392	628
K562-pooled_WT-100ng_2	Promoter	45	1117	0.66094674556213	82017	0.659311242946028	604
K562-pooled_WT-100ng_2	Promoter	46	1074	0.660516605166052	80082	0.659013479484521	584
K562-pooled_WT-100ng_2	Promoter	47	1014	0.66015625	77322	0.658743546490825	561
K562-pooled_WT-100ng_2	Promoter	48	981	0.660161507402423	75771	0.658717877386375	545
K562-pooled_WT-100ng_2	Promoter	49	931	0.657021877205363	73371	0.656763579075513	522
K562-pooled_WT-100ng_2	Promoter	50	883	0.652623798965262	71019	0.654070731258059	498
